query_text,persona,intent_label,complexity,notes
schools on the East Coast with low student-to-faculty ratio,advisor,filtered_search,medium,1–2 filters; advisor framing
NYU job placement,high_school_student,attribute_lookup,short_circuit,single attribute
does UC Berkeley have business,advisor,attribute_lookup,short_circuit,single attribute
Caltech job placement for economics,counselor_teacher,career_outcomes,medium,outcomes; counselor framing
colleges on the East Coast,parent,filtered_search,medium,1–2 filters
cheapest psychology schools in California,college_student,cost_financial_aid,medium,cost / aid
how do i apply to Princeton,counselor_teacher,admissions_process,medium,how-to / admissions
colleges in California,advisor,filtered_search,medium,1–2 filters
four year cost of Vanderbilt including housing,parent,admissions_process,medium,how-to / admissions; parent framing
Boston University vs Northeastern,counselor_teacher,comparison,complex,compare entities
colleges not Florida good financial aid with strong research and internships,parent,multi_constraint,complex,multi-constraint; parent framing
Columbia tuition vs University of Maryland tuition,high_school_student,comparison,complex,compare entities
Vanderbilt vs Virginia Tech for pre-med,parent,comparison,complex,compare entities
best colleges for pre-med job outcomes,counselor_teacher,career_outcomes,medium,outcomes
Caltech financial aid for out of state,high_school_student,cost_financial_aid,medium,cost / aid
recommend small colleges in Texas for pre-med reach schools,counselor_teacher,recommendation,complex,needs recommendations
UC San Diego,high_school_student,exact_lookup,short_circuit,simple entity
does Duke have film,high_school_student,attribute_lookup,short_circuit,single attribute
location for Arizona State,parent,attribute_lookup,short_circuit,single attribute
create reach target safety list for computer science in warm states under 40k,advisor,comparison,complex,compare entities; advisor framing
colleges in the Midwest,counselor_teacher,filtered_search,medium,1–2 filters
does Arizona State have mechanical engineering,counselor_teacher,attribute_lookup,short_circuit,single attribute
Caltech vs University of Maryland for mechanical engineering,advisor,comparison,short_circuit,compare entities
small computer science colleges near Chicago under 30k not too competitive,counselor_teacher,multi_constraint,complex,multi-constraint
University of Michigan job placement for pre-law,counselor_teacher,career_outcomes,llm_needed,outcomes
Duke admissions profile average sat and gpa,counselor_teacher,exact_lookup,short_circuit,simple entity; counselor framing
schools like NYU but cheaper,parent,recommendation,complex,needs recommendations
colleges near Chicago,counselor_teacher,filtered_search,medium,1–2 filters
schools not Florida with low student-to-faculty ratio,high_school_student,filtered_search,medium,1–2 filters
UC San Diego,counselor_teacher,exact_lookup,medium,simple entity
Arizona State tuition vs Harvard tuition,college_student,comparison,complex,compare entities
University of Wisconsin admissions profile average sat and gpa,counselor_teacher,cost_financial_aid,medium,cost / aid; counselor framing
what schools should i apply to for biology near Chicago under 20k,high_school_student,recommendation,complex,needs recommendations
UC Irvine scholarships,high_school_student,cost_financial_aid,llm_needed,cost / aid
recommend large colleges near a major tech hub for mechanical engineering safety schools,counselor_teacher,recommendation,complex,needs recommendations
small economics colleges near the beach under 30k not too competitive,high_school_student,multi_constraint,complex,multi-constraint
four year cost of University of Wisconsin including housing,parent,campus_life_fit,llm_needed,subjective fit; parent framing
colleges near Chicago good financial aid with strong research and internships,advisor,multi_constraint,complex,multi-constraint
Princeton financial aid for out of state,college_student,cost_financial_aid,medium,cost / aid
what schools should i apply to for public health in California full ride options,advisor,recommendation,complex,needs recommendations
best colleges for political science job outcomes,parent,career_outcomes,medium,outcomes
USC tuition vs Rice University tuition,counselor_teacher,comparison,complex,compare entities
what schools should i apply to for data science not Florida good financial aid,advisor,recommendation,complex,needs recommendations
schools with normal people,advisor,campus_life_fit,llm_needed,subjective fit; advisor framing
what essays does University of Wisconsin require,high_school_student,admissions_process,medium,how-to / admissions
Northwestern,counselor_teacher,exact_lookup,short_circuit,simple entity
large public health colleges not Florida under 20k not too competitive,college_student,multi_constraint,medium,multi-constraint
universities with strong philosophy,advisor,filtered_search,medium,1–2 filters
UC Irvine housing guarantee,parent,exact_lookup,short_circuit,simple entity; parent framing
what essays does Harvard require,high_school_student,admissions_process,medium,how-to / admissions
colleges near Chicago,high_school_student,filtered_search,medium,1–2 filters
what essays does Purdue require,parent,admissions_process,medium,how-to / admissions
colleges near the beach low tuition with strong research and internships,counselor_teacher,multi_constraint,complex,multi-constraint
api access for college partners,parent,b2b_partnership,medium,B2B; parent framing
Brown admissions profile average sat and gpa,counselor_teacher,campus_life_fit,llm_needed,subjective fit; counselor framing
schools in the Midwest with low student-to-faculty ratio,parent,filtered_search,medium,1–2 filters; parent framing
small data science colleges in Texas full ride options reach schools,college_student,multi_constraint,complex,multi-constraint
job placement for University of Wisconsin,parent,attribute_lookup,short_circuit,single attribute
medium-sized film colleges in the Midwest under 40k not too competitive,counselor_teacher,multi_constraint,complex,multi-constraint
universities with strong data science,high_school_student,filtered_search,medium,1–2 filters
what essays does UT Austin require,counselor_teacher,admissions_process,medium,how-to / admissions; counselor framing
University of Washington vs UC San Diego,advisor,comparison,complex,compare entities
schools good for chill campus,advisor,campus_life_fit,llm_needed,subjective fit
Carnegie Mellon average ACT,parent,attribute_lookup,short_circuit,single attribute
four year cost of Virginia Tech including housing,parent,recommendation,complex,needs recommendations; parent framing
how do i apply to Northeastern,college_student,admissions_process,medium,how-to / admissions
Duke tuition vs Purdue tuition,parent,comparison,complex,compare entities
University of Michigan housing guarantee,parent,recommendation,complex,needs recommendations; parent framing
rice university,parent,exact_lookup,short_circuit,simple entity; parent framing
harvard,high_school_student,exact_lookup,short_circuit,simple entity
Purdue but cheaper,parent,rewrite_needed,complex,needs rewrite
create reach target safety list for film near a major tech hub full ride options,advisor,multi_constraint,complex,multi-constraint; advisor framing
affordable chemistry schools in warm states with good job placement,parent,multi_constraint,complex,multi-constraint
University of Washington admissions profile average sat and gpa,counselor_teacher,recommendation,complex,needs recommendations; counselor framing
Virginia Tech vs NYU,college_student,comparison,complex,compare entities
small business colleges in California good financial aid target schools,high_school_student,multi_constraint,complex,multi-constraint
best colleges for philosophy job outcomes,high_school_student,career_outcomes,medium,outcomes
Duke student-to-faculty ratio,high_school_student,attribute_lookup,short_circuit,single attribute
cheapest mechanical engineering schools in the Midwest,parent,cost_financial_aid,medium,cost / aid; parent framing
Penn State application deadlines,parent,admissions_process,medium,how-to / admissions
Duke but cheaper,advisor,rewrite_needed,complex,needs rewrite
schools good for introverts,advisor,campus_life_fit,llm_needed,subjective fit
affordable political science schools in the Midwest with good job placement,college_student,multi_constraint,complex,multi-constraint
Harvard campus safety,advisor,attribute_lookup,short_circuit,single attribute
Cornell tuition vs UC Berkeley tuition,advisor,comparison,complex,compare entities
recommend small colleges near Chicago for computer science target schools,advisor,recommendation,complex,needs recommendations
large neuroscience colleges in California under 40k not too competitive,college_student,multi_constraint,complex,multi-constraint
NYU,counselor_teacher,exact_lookup,short_circuit,simple entity
what schools should i apply to for mechanical engineering near the beach low tuition,counselor_teacher,recommendation,complex,needs recommendations
University of Wisconsin job placement for pre-med,college_student,career_outcomes,llm_needed,outcomes
schools with high internship placement rates,advisor,career_outcomes,llm_needed,outcomes
colleges in California under 20k with strong research and internships,high_school_student,multi_constraint,complex,multi-constraint
how do i apply to Stanford,parent,admissions_process,medium,how-to / admissions; parent framing
University of Washington admissions profile average sat and gpa,counselor_teacher,comparison,complex,compare entities; counselor framing
how do we update our school profile data,counselor_teacher,b2b_partnership,medium,B2B; counselor framing
universities with strong public health,high_school_student,filtered_search,medium,1–2 filters
affordable data science schools in warm states with good job placement,counselor_teacher,multi_constraint,complex,multi-constraint
best nursing schools near a major tech hub,high_school_student,filtered_search,medium,1–2 filters
colleges in California under 40k with strong research and internships,advisor,multi_constraint,short_circuit,multi-constraint
schools not Florida with low student-to-faculty ratio,high_school_student,filtered_search,complex,1–2 filters
Harvard,high_school_student,exact_lookup,llm_needed,simple entity
Northwestern job placement for philosophy,parent,career_outcomes,medium,outcomes; parent framing
Vanderbilt scholarships,college_student,cost_financial_aid,medium,cost / aid
does Harvard have business,college_student,attribute_lookup,short_circuit,single attribute
UC Irvine scholarships,counselor_teacher,cost_financial_aid,medium,cost / aid
colleges not Florida under 20k with strong research and internships,advisor,multi_constraint,complex,multi-constraint
USC chill campus,advisor,campus_life_fit,llm_needed,subjective fit
Northwestern application deadlines,college_student,admissions_process,medium,how-to / admissions
University of Wisconsin scholarships,high_school_student,cost_financial_aid,medium,cost / aid
Princeton tuition vs University of Florida tuition,advisor,comparison,complex,compare entities
colleges near Chicago,college_student,filtered_search,medium,1–2 filters
Penn State housing guarantee,parent,comparison,complex,compare entities; parent framing
do i need sat for UC San Diego,advisor,admissions_process,complex,how-to / admissions
northwestern,college_student,exact_lookup,short_circuit,simple entity
four year cost of MIT including housing,parent,cost_financial_aid,medium,cost / aid; parent framing
Duke vs Princeton,high_school_student,comparison,complex,compare entities
Carnegie Mellon job placement for mechanical engineering,college_student,career_outcomes,short_circuit,outcomes
schools good for sports culture,counselor_teacher,campus_life_fit,llm_needed,subjective fit; counselor framing
universities with strong neuroscience,high_school_student,filtered_search,medium,1–2 filters
best colleges for business job outcomes,high_school_student,career_outcomes,medium,outcomes
University of Maryland job placement for computer science,high_school_student,career_outcomes,medium,outcomes
do i need sat for Duke,counselor_teacher,admissions_process,medium,how-to / admissions; counselor framing
small biology colleges not Florida under 20k reach schools,advisor,multi_constraint,complex,multi-constraint
create reach target safety list for public health near Chicago under 30k,advisor,exact_lookup,complex,simple entity; advisor framing
recommend medium-sized colleges not Florida for film not too competitive,advisor,recommendation,complex,needs recommendations
UT Austin housing guarantee,parent,exact_lookup,short_circuit,simple entity; parent framing
USC but cheaper,college_student,rewrite_needed,complex,needs rewrite
cheapest chemistry schools on the East Coast,parent,cost_financial_aid,medium,cost / aid
recommend small colleges near Chicago for mechanical engineering safety schools,college_student,recommendation,complex,needs recommendations
Caltech but cheaper,parent,rewrite_needed,complex,needs rewrite
UC Irvine,advisor,exact_lookup,medium,simple entity
Penn State campus safety,high_school_student,attribute_lookup,complex,single attribute
schools like Georgia Tech but cheaper,advisor,recommendation,complex,needs recommendations
MIT but cheaper,high_school_student,rewrite_needed,complex,needs rewrite
what schools should i apply to for public health in warm states under 40k,college_student,recommendation,complex,needs recommendations
best colleges for psychology job outcomes,parent,career_outcomes,medium,outcomes
Northeastern normal people,counselor_teacher,campus_life_fit,llm_needed,subjective fit
Rice University job placement for mechanical engineering,college_student,career_outcomes,medium,outcomes
what essays does UC Irvine require,high_school_student,admissions_process,medium,how-to / admissions
UC San Diego,advisor,exact_lookup,short_circuit,simple entity
Rice University housing guarantee,parent,attribute_lookup,short_circuit,single attribute; parent framing
University of Wisconsin housing guarantee,parent,rewrite_needed,complex,needs rewrite; parent framing
best pre-law schools near the beach,parent,filtered_search,medium,1–2 filters; parent framing
housing for Harvard,parent,attribute_lookup,short_circuit,single attribute
schools near the beach with low student-to-faculty ratio,counselor_teacher,filtered_search,medium,1–2 filters
Rice University financial aid for out of state,advisor,cost_financial_aid,medium,cost / aid
Boston University tuition vs University of Wisconsin tuition,high_school_student,comparison,short_circuit,compare entities
colleges in warm states under 40k with strong research and internships,counselor_teacher,multi_constraint,llm_needed,multi-constraint
UCLA financial aid for out of state,counselor_teacher,cost_financial_aid,medium,cost / aid
does Purdue have engineering,counselor_teacher,attribute_lookup,short_circuit,single attribute
what schools should i apply to for finance in Texas low tuition,high_school_student,recommendation,complex,needs recommendations
create reach target safety list for chemistry in warm states under 30k,advisor,exact_lookup,short_circuit,simple entity; advisor framing
what schools should i apply to for electrical engineering near the beach under 30k,high_school_student,recommendation,complex,needs recommendations
USC job placement for political science,college_student,career_outcomes,medium,outcomes
Boston University tuition vs Stanford tuition,parent,comparison,complex,compare entities
large computer science colleges in Texas under 20k safety schools,high_school_student,multi_constraint,complex,multi-constraint
best architecture schools on the East Coast,high_school_student,filtered_search,llm_needed,1–2 filters
does Duke have psychology,college_student,attribute_lookup,complex,single attribute
what schools should i apply to for public health in the Midwest low tuition,counselor_teacher,recommendation,complex,needs recommendations
what schools should i apply to for philosophy in warm states full ride options,advisor,recommendation,complex,needs recommendations
schools with strong first gen support,counselor_teacher,b2b_partnership,short_circuit,B2B; counselor framing
Northwestern tuition vs Caltech tuition,parent,comparison,complex,compare entities
Rice University job placement for business,high_school_student,career_outcomes,short_circuit,outcomes
affordable film schools in Texas with good job placement,parent,multi_constraint,complex,multi-constraint
average ACT for Duke,advisor,attribute_lookup,medium,single attribute
Vanderbilt acceptance rate,parent,attribute_lookup,short_circuit,single attribute
virginia tech,counselor_teacher,exact_lookup,short_circuit,simple entity
what schools should i apply to for computer science near Chicago under 20k,college_student,recommendation,complex,needs recommendations
UC Berkeley,counselor_teacher,exact_lookup,medium,simple entity
Harvard vs UT Austin for chemistry,advisor,comparison,llm_needed,compare entities; advisor framing
schools like Rice University but cheaper,high_school_student,recommendation,complex,needs recommendations
Duke vs Carnegie Mellon,college_student,comparison,complex,compare entities
create reach target safety list for pre-law near Chicago good financial aid,advisor,admissions_process,medium,how-to / admissions; advisor framing
schools like Arizona State but cheaper,high_school_student,recommendation,complex,needs recommendations
what schools should i apply to for psychology near a major tech hub under 40k,advisor,recommendation,complex,needs recommendations
columbia,college_student,exact_lookup,short_circuit,simple entity
NYU,high_school_student,exact_lookup,short_circuit,simple entity
best colleges for psychology job outcomes,college_student,career_outcomes,medium,outcomes
recommend large colleges near the beach for psychology reach schools,counselor_teacher,recommendation,complex,needs recommendations
large public health colleges in warm states good financial aid reach schools,advisor,multi_constraint,llm_needed,multi-constraint
Northwestern job placement for data science,advisor,career_outcomes,medium,outcomes; advisor framing
University of Washington scholarships,high_school_student,cost_financial_aid,medium,cost / aid
best economics schools near Chicago,high_school_student,filtered_search,medium,1–2 filters
UC Berkeley,advisor,exact_lookup,short_circuit,simple entity
affordable film schools not Florida with good job placement,high_school_student,multi_constraint,complex,multi-constraint
University of Florida application deadlines,college_student,admissions_process,medium,how-to / admissions
Virginia Tech,counselor_teacher,exact_lookup,short_circuit,simple entity
Virginia Tech scholarships,college_student,cost_financial_aid,medium,cost / aid
Arizona State job placement for psychology,high_school_student,career_outcomes,medium,outcomes
Harvard admissions profile average sat and gpa,counselor_teacher,campus_life_fit,llm_needed,subjective fit; counselor framing
does University of Michigan have engineering,high_school_student,attribute_lookup,short_circuit,single attribute
campus safety for University of Maryland,high_school_student,attribute_lookup,short_circuit,single attribute
USC vs Vanderbilt,high_school_student,comparison,complex,compare entities
Arizona State location,college_student,attribute_lookup,short_circuit,single attribute
Vanderbilt job placement for political science,parent,career_outcomes,medium,outcomes; parent framing
create reach target safety list for finance not Florida full ride options,advisor,cost_financial_aid,medium,cost / aid; advisor framing
schools like UC San Diego but cheaper,advisor,recommendation,complex,needs recommendations; advisor framing
Purdue internships,counselor_teacher,attribute_lookup,short_circuit,single attribute
recommend large colleges in the Midwest for architecture target schools,college_student,recommendation,complex,needs recommendations
recommend large colleges on the East Coast for architecture reach schools,advisor,recommendation,complex,needs recommendations; advisor framing
Rice University but cheaper,high_school_student,rewrite_needed,complex,needs rewrite
what schools should i apply to for engineering near the beach under 20k,parent,recommendation,complex,needs recommendations
Stanford job placement for computer science,advisor,career_outcomes,medium,outcomes
Boston University vs Vanderbilt,advisor,comparison,complex,compare entities
Boston University internships,high_school_student,attribute_lookup,short_circuit,single attribute
duke,college_student,exact_lookup,short_circuit,simple entity
Cornell housing guarantee,parent,campus_life_fit,llm_needed,subjective fit; parent framing
Caltech,advisor,exact_lookup,short_circuit,simple entity
colleges near Chicago full ride options with strong research and internships,advisor,multi_constraint,complex,multi-constraint
cheapest mechanical engineering schools in the Midwest,high_school_student,cost_financial_aid,medium,cost / aid
how do i apply to UC Berkeley,advisor,admissions_process,medium,how-to / admissions
universities with strong finance,parent,filtered_search,medium,1–2 filters
cheapest political science schools in the Midwest,parent,cost_financial_aid,medium,cost / aid
Northwestern application deadlines,high_school_student,admissions_process,medium,how-to / admissions
schools good for normal people,high_school_student,campus_life_fit,llm_needed,subjective fit
create reach target safety list for nursing near the beach low tuition,advisor,career_outcomes,medium,outcomes; advisor framing
Virginia Tech housing guarantee,parent,campus_life_fit,llm_needed,subjective fit; parent framing
Arizona State vs USC for economics,high_school_student,comparison,complex,compare entities
enterprise access for counselors and districts,parent,b2b_partnership,llm_needed,B2B
Brown student-to-faculty ratio,advisor,attribute_lookup,short_circuit,single attribute
NYU vs Columbia,college_student,comparison,complex,compare entities
schools like NYU but cheaper,advisor,recommendation,complex,needs recommendations
do i need sat for Arizona State,high_school_student,admissions_process,medium,how-to / admissions
Carnegie Mellon tuition vs Cornell tuition,college_student,comparison,short_circuit,compare entities
UCLA job placement for neuroscience,college_student,career_outcomes,medium,outcomes
Duke vs USC,advisor,comparison,complex,compare entities
cheapest aerospace engineering schools near the beach,college_student,cost_financial_aid,medium,cost / aid
UT Austin,college_student,exact_lookup,short_circuit,simple entity
Harvard non-competitive culture,parent,campus_life_fit,llm_needed,subjective fit
cheapest film schools near the beach,parent,cost_financial_aid,medium,cost / aid
UC Berkeley student-to-faculty ratio,counselor_teacher,attribute_lookup,short_circuit,single attribute; counselor framing
NYU,advisor,exact_lookup,short_circuit,simple entity
duke,counselor_teacher,exact_lookup,short_circuit,simple entity
best aerospace engineering schools near Chicago,advisor,filtered_search,medium,1–2 filters; advisor framing
UT Austin financial aid for out of state,high_school_student,cost_financial_aid,medium,cost / aid
best philosophy schools in the Midwest,advisor,filtered_search,medium,1–2 filters
University of Washington vs USC for biology,high_school_student,comparison,complex,compare entities
Harvard application deadlines,college_student,admissions_process,medium,how-to / admissions
Purdue tuition vs Duke tuition,college_student,comparison,complex,compare entities
affordable pre-law schools not Florida with good job placement,parent,multi_constraint,complex,multi-constraint
does Georgia Tech have public health,college_student,attribute_lookup,short_circuit,single attribute
Princeton but cheaper,parent,rewrite_needed,complex,needs rewrite
Harvard,counselor_teacher,exact_lookup,medium,simple entity; counselor framing
MIT financial aid for out of state,high_school_student,cost_financial_aid,medium,cost / aid
UC San Diego,parent,exact_lookup,short_circuit,simple entity; parent framing
UC Berkeley tuition vs UCLA tuition,counselor_teacher,comparison,complex,compare entities
Georgia Tech vs Princeton,college_student,comparison,complex,compare entities
four year cost of Caltech including housing,parent,career_outcomes,medium,outcomes; parent framing
financial aid for Stanford,high_school_student,attribute_lookup,short_circuit,single attribute
UC Berkeley clubs,parent,attribute_lookup,short_circuit,single attribute
colleges near Chicago low tuition with strong research and internships,counselor_teacher,multi_constraint,complex,multi-constraint
UT Austin vs UC Berkeley for mechanical engineering,parent,comparison,complex,compare entities
create reach target safety list for pre-law in warm states low tuition,advisor,exact_lookup,short_circuit,simple entity; advisor framing
Northwestern,advisor,exact_lookup,llm_needed,simple entity
create reach target safety list for finance in the Midwest low tuition,advisor,rewrite_needed,llm_needed,needs rewrite; advisor framing
what schools should i apply to for philosophy near the beach good financial aid,counselor_teacher,recommendation,complex,needs recommendations; counselor framing
colleges on the East Coast good financial aid with strong research and internships,parent,multi_constraint,complex,multi-constraint
rankings for Carnegie Mellon,high_school_student,attribute_lookup,short_circuit,single attribute
best economics schools in warm states,parent,filtered_search,medium,1–2 filters
four year cost of Duke including housing,parent,recommendation,complex,needs recommendations; parent framing
UC Berkeley housing guarantee,parent,career_outcomes,medium,outcomes; parent framing
create reach target safety list for electrical engineering near the beach full ride options,advisor,filtered_search,medium,1–2 filters; advisor framing
does UC San Diego have film,college_student,attribute_lookup,llm_needed,single attribute
Georgia Tech financial aid for out of state,advisor,cost_financial_aid,llm_needed,cost / aid
create reach target safety list for public health in the Midwest under 40k,advisor,multi_constraint,complex,multi-constraint; advisor framing
large pre-law colleges in California under 40k not too competitive,counselor_teacher,multi_constraint,medium,multi-constraint; counselor framing
Stanford tuition vs Penn State tuition,high_school_student,comparison,complex,compare entities
what schools should i apply to for biology near the beach under 30k,parent,recommendation,complex,needs recommendations
what schools should i apply to for psychology not Florida good financial aid,parent,recommendation,complex,needs recommendations
best film schools in Texas,high_school_student,filtered_search,medium,1–2 filters
medium-sized chemistry colleges in the Midwest under 30k not too competitive,counselor_teacher,multi_constraint,complex,multi-constraint
four year cost of University of Maryland including housing,parent,attribute_lookup,short_circuit,single attribute; parent framing
University of Wisconsin student-to-faculty ratio,counselor_teacher,attribute_lookup,short_circuit,single attribute
Virginia Tech job placement for public health,advisor,career_outcomes,medium,outcomes
small biology colleges in California under 30k safety schools,parent,multi_constraint,complex,multi-constraint
UC San Diego financial aid for out of state,high_school_student,cost_financial_aid,medium,cost / aid
University of Maryland financial aid for out of state,counselor_teacher,cost_financial_aid,medium,cost / aid
University of Maryland clubs,high_school_student,attribute_lookup,short_circuit,single attribute
api access for college partners,high_school_student,b2b_partnership,short_circuit,B2B
affordable economics schools in California with good job placement,advisor,multi_constraint,complex,multi-constraint
what essays does Penn State require,advisor,admissions_process,medium,how-to / admissions
UT Austin job placement for nursing,parent,career_outcomes,medium,outcomes
large electrical engineering colleges near a major tech hub under 20k not too competitive,college_student,multi_constraint,complex,multi-constraint
recommend small colleges near the beach for neuroscience target schools,advisor,recommendation,complex,needs recommendations
Florida,counselor_teacher,exact_lookup,short_circuit,simple entity
schools with normal people,parent,campus_life_fit,short_circuit,subjective fit
schools like Purdue but cheaper,college_student,recommendation,complex,needs recommendations
Georgia Tech application deadlines,high_school_student,admissions_process,medium,how-to / admissions
create reach target safety list for psychology in California full ride options,advisor,career_outcomes,medium,outcomes; advisor framing
Purdue scholarships,advisor,cost_financial_aid,medium,cost / aid
enterprise access for counselors and districts,advisor,b2b_partnership,llm_needed,B2B
UT Austin tuition vs NYU tuition,advisor,comparison,complex,compare entities
Caltech admissions profile average sat and gpa,counselor_teacher,admissions_process,medium,how-to / admissions; counselor framing
best philosophy schools near a major tech hub,counselor_teacher,filtered_search,medium,1–2 filters
Vanderbilt research opportunities,high_school_student,attribute_lookup,short_circuit,single attribute
colleges where people dont care about football,counselor_teacher,campus_life_fit,complex,subjective fit
Purdue,parent,exact_lookup,short_circuit,simple entity
what essays does Rice University require,high_school_student,admissions_process,medium,how-to / admissions
how do i apply to Duke,college_student,admissions_process,medium,how-to / admissions
do i need sat for University of Wisconsin,college_student,admissions_process,medium,how-to / admissions
University of Michigan but cheaper,college_student,rewrite_needed,complex,needs rewrite
housing for Stanford,parent,attribute_lookup,short_circuit,single attribute
does Carnegie Mellon have neuroscience,high_school_student,attribute_lookup,short_circuit,single attribute
api access for college partners,counselor_teacher,b2b_partnership,medium,B2B
Northeastern admissions profile average sat and gpa,counselor_teacher,campus_life_fit,llm_needed,subjective fit; counselor framing
Virginia Tech housing guarantee,parent,cost_financial_aid,medium,cost / aid; parent framing
recommend medium-sized colleges in the Midwest for electrical engineering target schools,high_school_student,recommendation,medium,needs recommendations
UC Irvine application deadlines,high_school_student,admissions_process,medium,how-to / admissions
best computer science schools near Chicago,college_student,filtered_search,medium,1–2 filters
Northeastern vs Stanford,parent,comparison,complex,compare entities
best colleges for film job outcomes,parent,career_outcomes,medium,outcomes
schools not Florida with low student-to-faculty ratio,parent,filtered_search,medium,1–2 filters
create reach target safety list for political science in the Midwest low tuition,advisor,filtered_search,medium,1–2 filters; advisor framing
Vanderbilt,counselor_teacher,exact_lookup,short_circuit,simple entity
universities with strong public health,counselor_teacher,filtered_search,medium,1–2 filters
best psychology schools in California,advisor,filtered_search,medium,1–2 filters
large public health colleges near a major tech hub under 20k safety schools,advisor,multi_constraint,complex,multi-constraint
Florida,advisor,exact_lookup,short_circuit,simple entity; advisor framing
UC Berkeley admissions profile average sat and gpa,counselor_teacher,comparison,complex,compare entities; counselor framing
best pre-med schools on the East Coast,advisor,filtered_search,medium,1–2 filters; advisor framing
Georgia Tech vs University of Maryland for data science,advisor,comparison,complex,compare entities; advisor framing
Brown job placement for pre-law,college_student,career_outcomes,medium,outcomes
schools like Arizona State but cheaper,college_student,recommendation,complex,needs recommendations
create reach target safety list for political science in the Midwest under 20k,advisor,attribute_lookup,short_circuit,single attribute; advisor framing
Brown housing guarantee,parent,recommendation,complex,needs recommendations; parent framing
Carnegie Mellon financial aid for out of state,counselor_teacher,cost_financial_aid,medium,cost / aid
what essays does University of Michigan require,advisor,admissions_process,medium,how-to / admissions
cheapest data science schools in California,high_school_student,cost_financial_aid,complex,cost / aid
schools like Virginia Tech but cheaper,high_school_student,recommendation,complex,needs recommendations
affordable aerospace engineering schools in Texas with good job placement,counselor_teacher,multi_constraint,complex,multi-constraint
how do i apply to Georgia Tech,college_student,admissions_process,medium,how-to / admissions
tuition for NYU,high_school_student,attribute_lookup,short_circuit,single attribute
affordable public health schools not Florida with good job placement,college_student,multi_constraint,complex,multi-constraint
Virginia Tech tuition vs Stanford tuition,advisor,comparison,complex,compare entities; advisor framing
best colleges for architecture job outcomes,counselor_teacher,career_outcomes,medium,outcomes
Rice University tuition vs UCLA tuition,college_student,comparison,complex,compare entities
Columbia admissions profile average sat and gpa,counselor_teacher,b2b_partnership,medium,B2B; counselor framing
Carnegie Mellon vs Columbia,counselor_teacher,comparison,complex,compare entities
UC Berkeley tuition vs MIT tuition,college_student,comparison,complex,compare entities
do i need sat for Vanderbilt,counselor_teacher,admissions_process,medium,how-to / admissions
Rice University tuition vs MIT tuition,advisor,comparison,complex,compare entities
best colleges for biology job outcomes,parent,career_outcomes,medium,outcomes
colleges not Florida under 20k with strong research and internships,high_school_student,multi_constraint,complex,multi-constraint
create reach target safety list for data science near the beach under 30k,advisor,comparison,complex,compare entities; advisor framing
colleges near the beach under 30k with strong research and internships,advisor,multi_constraint,complex,multi-constraint
cheapest neuroscience schools in warm states,parent,cost_financial_aid,complex,cost / aid; parent framing
Brown application deadlines,advisor,admissions_process,medium,how-to / admissions
UC San Diego vs University of Washington,advisor,comparison,complex,compare entities
UCLA clubs,high_school_student,attribute_lookup,short_circuit,single attribute
what schools should i apply to for economics not Florida under 20k,counselor_teacher,recommendation,complex,needs recommendations
cheapest pre-law schools in California,college_student,cost_financial_aid,medium,cost / aid
colleges near Chicago under 40k with strong research and internships,advisor,multi_constraint,complex,multi-constraint; advisor framing
small aerospace engineering colleges on the East Coast under 30k reach schools,college_student,multi_constraint,complex,multi-constraint
uc san diego,parent,exact_lookup,short_circuit,simple entity
housing for Purdue,high_school_student,attribute_lookup,short_circuit,single attribute
financial aid for Georgia Tech,parent,attribute_lookup,short_circuit,single attribute
schools like MIT but cheaper,advisor,recommendation,medium,needs recommendations
UT Austin tuition,counselor_teacher,attribute_lookup,short_circuit,single attribute
Caltech financial aid,college_student,attribute_lookup,short_circuit,single attribute
Northwestern application deadlines,advisor,admissions_process,medium,how-to / admissions
penn state,high_school_student,exact_lookup,medium,simple entity
Rice University job placement for finance,high_school_student,career_outcomes,medium,outcomes
Princeton vs MIT,advisor,comparison,complex,compare entities
MIT admissions profile average sat and gpa,counselor_teacher,rewrite_needed,complex,needs rewrite; counselor framing
schools like UC San Diego but cheaper,parent,recommendation,complex,needs recommendations; parent framing
UT Austin tuition vs Purdue tuition,counselor_teacher,comparison,complex,compare entities
University of Florida financial aid,high_school_student,attribute_lookup,short_circuit,single attribute
Rice University job placement for nursing,college_student,career_outcomes,medium,outcomes
schools on the East Coast with low student-to-faculty ratio,advisor,filtered_search,complex,1–2 filters
does University of Wisconsin have political science,high_school_student,attribute_lookup,short_circuit,single attribute
schools like Georgia Tech but cheaper,parent,recommendation,complex,needs recommendations
Boston University vs Columbia,high_school_student,comparison,complex,compare entities
what schools should i apply to for finance not Florida low tuition,high_school_student,recommendation,short_circuit,needs recommendations
student-to-faculty ratio for UCLA,counselor_teacher,attribute_lookup,short_circuit,single attribute
pricing for partner colleges,counselor_teacher,b2b_partnership,llm_needed,B2B
best philosophy schools on the East Coast,counselor_teacher,filtered_search,medium,1–2 filters
how do i apply to Boston University,high_school_student,admissions_process,complex,how-to / admissions
affordable aerospace engineering schools near the beach with good job placement,college_student,multi_constraint,complex,multi-constraint
job placement for Harvard,high_school_student,attribute_lookup,short_circuit,single attribute
University of Florida but cheaper,college_student,rewrite_needed,complex,needs rewrite
