query_text,true_persona,true_intent,expected_route,expected_tier,notes,expected_primary_route
UT Austin,high_school_student,direct_lookup,typesense_only,easy,gold label; high_school_student; direct_lookup,shortcut
pricing for partner universities,advisor,b2b_partnership,b2b_workflow,medium,gold label; advisor; b2b_partnership,b2b
best fit colleges for students interested in business,counselor_teacher,rewrite_needed,rewrite_then_route,complex,gold label; counselor_teacher; rewrite_needed,llm
Cornell admissions profile average sat and gpa,counselor_teacher,filtered_search,semantic_or_faceted_search,medium,gold label; counselor_teacher; filtered_search,retrieval
colleges with low stress environment,advisor,campus_life_fit,llm_advisory,complex,gold label; advisor; campus_life_fit,llm
Stanford acceptance rate,parent,attribute_lookup,typesense_plus_metadata,easy,gold label; parent; attribute_lookup,shortcut
Columbia research opportunities for undergrads,college_student,direct_lookup,typesense_only,easy,gold label; college_student; direct_lookup,shortcut
Princeton research opportunities for undergrads,college_student,rewrite_needed,rewrite_then_route,complex,gold label; college_student; rewrite_needed,llm
is Stanford safe for students,parent,direct_lookup,typesense_only,easy,gold label; parent; direct_lookup,shortcut
harvard,college_student,direct_lookup,typesense_only,easy,gold label; college_student; direct_lookup,shortcut
can i transfer credits into USC,college_student,filtered_search,semantic_or_faceted_search,medium,gold label; college_student; filtered_search,retrieval
Princeton admissions profile average sat and gpa,counselor_teacher,cost_financial_aid,finance_guidance,medium,gold label; counselor_teacher; cost_financial_aid,retrieval
colleges with low stress environment,high_school_student,campus_life_fit,llm_advisory,complex,gold label; high_school_student; campus_life_fit,llm
affordable architecture schools in the Midwest with scholarships with good internships,advisor,multi_constraint,foundry_multi_agent,complex,gold label; advisor; multi_constraint,retrieval
universities with strong economics,parent,filtered_search,semantic_or_faceted_search,medium,gold label; parent; filtered_search,retrieval
create reach target safety list for mechanical engineering near the beach under 20k,advisor,filtered_search,semantic_or_faceted_search,medium,gold label; advisor; filtered_search,retrieval
schools like Northwestern but cheaper,parent,recommendation,recommendation_workflow,complex,gold label; parent; recommendation,retrieval
USC admissions profile average sat and gpa,counselor_teacher,campus_life_fit,llm_advisory,complex,gold label; counselor_teacher; campus_life_fit,llm
what schools should i apply to for mechanical engineering,high_school_student,recommendation,recommendation_workflow,complex,gold label; high_school_student; recommendation,retrieval
universities with strong pre-med,parent,filtered_search,semantic_or_faceted_search,medium,gold label; parent; filtered_search,retrieval
create reach target safety list for business near the beach under 40k,advisor,direct_lookup,typesense_only,easy,gold label; advisor; direct_lookup,shortcut
recommend colleges near Chicago for engineering under 40k,college_student,recommendation,recommendation_workflow,complex,gold label; college_student; recommendation,retrieval
Duke,advisor,direct_lookup,typesense_only,easy,gold label; advisor; direct_lookup,shortcut
create reach target safety list for economics near Chicago under 30k,advisor,attribute_lookup,typesense_plus_metadata,easy,gold label; advisor; attribute_lookup,shortcut
best fit colleges for students interested in data science,counselor_teacher,multi_constraint,foundry_multi_agent,complex,gold label; counselor_teacher; multi_constraint,retrieval
MIT admissions profile average sat and gpa,counselor_teacher,recommendation,recommendation_workflow,complex,gold label; counselor_teacher; recommendation,retrieval
Carnegie Mellon housing guarantee,parent,comparison,compare_pipeline,complex,gold label; parent; comparison,retrieval
how to lower college costs,high_school_student,cost_financial_aid,finance_guidance,medium,gold label; high_school_student; cost_financial_aid,retrieval
schools good for introverts,college_student,campus_life_fit,llm_advisory,complex,gold label; college_student; campus_life_fit,llm
what essays does MIT require,high_school_student,admissions_process,faq_or_guidance,medium,gold label; high_school_student; admissions_process,retrieval
best fit colleges for students interested in business,counselor_teacher,cost_financial_aid,finance_guidance,medium,gold label; counselor_teacher; cost_financial_aid,retrieval
best fit colleges for students interested in engineering,counselor_teacher,rewrite_needed,rewrite_then_route,complex,gold label; counselor_teacher; rewrite_needed,llm
harvard but less stressful,advisor,rewrite_needed,rewrite_then_route,complex,gold label; advisor; rewrite_needed,llm
MIT research opportunities for undergrads,college_student,comparison,compare_pipeline,complex,gold label; college_student; comparison,retrieval
is University of Michigan safe for students,parent,cost_financial_aid,finance_guidance,medium,gold label; parent; cost_financial_aid,retrieval
four year cost of NYU including housing,parent,direct_lookup,typesense_only,easy,gold label; parent; direct_lookup,shortcut
small biology colleges near the beach with scholarships,high_school_student,multi_constraint,foundry_multi_agent,complex,gold label; high_school_student; multi_constraint,retrieval
universities with strong architecture,parent,filtered_search,semantic_or_faceted_search,medium,gold label; parent; filtered_search,retrieval
does Princeton have biology,parent,attribute_lookup,typesense_plus_metadata,easy,gold label; parent; attribute_lookup,shortcut
recommend colleges in California for pre-med with strong aid,college_student,recommendation,recommendation_workflow,complex,gold label; college_student; recommendation,retrieval
create reach target safety list for architecture in Texas under 40k,advisor,rewrite_needed,rewrite_then_route,complex,gold label; advisor; rewrite_needed,llm
can i transfer credits into Stanford,college_student,comparison,compare_pipeline,complex,gold label; college_student; comparison,retrieval
Stanford research opportunities for undergrads,college_student,admissions_process,faq_or_guidance,medium,gold label; college_student; admissions_process,retrieval
colleges in warm states,advisor,filtered_search,semantic_or_faceted_search,medium,gold label; advisor; filtered_search,retrieval
best fit colleges for students interested in economics,counselor_teacher,admissions_process,faq_or_guidance,medium,gold label; counselor_teacher; admissions_process,retrieval
create reach target safety list for computer science in the Midwest under 20k,advisor,filtered_search,semantic_or_faceted_search,medium,gold label; advisor; filtered_search,retrieval
Carnegie Mellon admissions profile average sat and gpa,counselor_teacher,attribute_lookup,typesense_plus_metadata,easy,gold label; counselor_teacher; attribute_lookup,shortcut
UC Berkeley housing guarantee,parent,multi_constraint,foundry_multi_agent,complex,gold label; parent; multi_constraint,retrieval
best options for a student switching into business,advisor,comparison,compare_pipeline,complex,gold label; advisor; comparison,retrieval
do i need sat for Princeton,high_school_student,admissions_process,faq_or_guidance,medium,gold label; high_school_student; admissions_process,retrieval
schools with strong first gen support,counselor_teacher,admissions_process,faq_or_guidance,medium,gold label; counselor_teacher; admissions_process,retrieval
colleges in the Midwest,counselor_teacher,filtered_search,semantic_or_faceted_search,medium,gold label; counselor_teacher; filtered_search,retrieval
small psychology colleges in the Midwest under 30k,high_school_student,multi_constraint,foundry_multi_agent,complex,gold label; high_school_student; multi_constraint,retrieval
purdue,high_school_student,direct_lookup,typesense_only,easy,gold label; high_school_student; direct_lookup,shortcut
best options for a student switching into psychology,advisor,b2b_partnership,b2b_workflow,medium,gold label; advisor; b2b_partnership,b2b
can i transfer credits into Virginia Tech,college_student,filtered_search,semantic_or_faceted_search,medium,gold label; college_student; filtered_search,retrieval
colleges in California with strong aid with strong research and campus safety,high_school_student,multi_constraint,foundry_multi_agent,complex,gold label; high_school_student; multi_constraint,retrieval
is University of Washington safe for students,parent,recommendation,recommendation_workflow,complex,gold label; parent; recommendation,retrieval
do i need sat for Carnegie Mellon,counselor_teacher,admissions_process,faq_or_guidance,medium,gold label; counselor_teacher; admissions_process,retrieval
can i transfer credits into USC,college_student,rewrite_needed,rewrite_then_route,complex,gold label; college_student; rewrite_needed,llm
