query_text,persona,intent_label,primary_route,complexity,entities,route,notes,source_file,raw_persona,raw_intent,raw_route,standardization_notes,entity_types
how to use email templates efficiently for common advising questions,advisor,attribute_lookup,retrieval,short_circuit,"email templates, common questions, advising, efficiency",academic_advising,caseload management,Data - Edward.csv,advisor,attribute_lookup,academic_advising,"persona:advisor->advisor,intent:attribute_lookup->attribute_lookup,intent:validated_attribute_lookup,primary_route:route:academic_advising",
how to build a four-year degree plan for a late-declared major,advisor,attribute_lookup,retrieval,complex,"four-year plan, late major declaration, degree, advising",academic_advising,degree planning,Data - Edward.csv,advisor,attribute_lookup,academic_advising,"persona:advisor->advisor,intent:attribute_lookup->attribute_lookup,intent:validated_attribute_lookup,primary_route:route:academic_advising",
how to advise students on substitution and waiver requests,advisor,attribute_lookup,retrieval,medium,"substitution, waiver, degree requirements, advising",academic_advising,degree planning,Data - Edward.csv,advisor,attribute_lookup,academic_advising,"persona:advisor->advisor,intent:attribute_lookup->attribute_lookup,intent:validated_attribute_lookup,primary_route:route:academic_advising",
how to help students understand their degree audit,advisor,attribute_lookup,retrieval,medium,"degree audit, explanation, student understanding, advising",academic_advising,degree planning,Data - Edward.csv,advisor,attribute_lookup,academic_advising,"persona:advisor->advisor,intent:attribute_lookup->attribute_lookup,intent:validated_attribute_lookup,primary_route:route:academic_advising",
what courses should I recommend for a student interested in health policy,advisor,attribute_lookup,retrieval,medium,"health policy, course recommendations, student interests, advising",academic_advising,degree planning,Data - Edward.csv,advisor,attribute_lookup,academic_advising,"persona:advisor->advisor,intent:attribute_lookup->attribute_lookup,intent:validated_attribute_lookup,primary_route:route:academic_advising",
how to map transfer credits to current degree requirements,advisor,attribute_lookup,retrieval,complex,"transfer credits, degree requirements, mapping, advising",academic_advising,degree planning,Data - Edward.csv,advisor,attribute_lookup,academic_advising,"persona:advisor->advisor,intent:attribute_lookup->attribute_lookup,intent:validated_attribute_lookup,primary_route:route:academic_advising",
what are common bottleneck courses that delay graduation,advisor,attribute_lookup,retrieval,medium,"bottleneck courses, graduation delay, degree planning, advising",academic_advising,degree planning,Data - Edward.csv,advisor,attribute_lookup,academic_advising,"persona:advisor->advisor,intent:attribute_lookup->attribute_lookup,intent:validated_attribute_lookup,primary_route:route:academic_advising",
how to advise students about prerequisite chains in science programs,advisor,attribute_lookup,retrieval,medium,"prerequisites, science programs, chains, advising",academic_advising,degree planning,Data - Edward.csv,advisor,attribute_lookup,academic_advising,"persona:advisor->advisor,intent:attribute_lookup->attribute_lookup,intent:validated_attribute_lookup,primary_route:route:academic_advising",
how to advise pre-med students on course sequencing,advisor,attribute_lookup,retrieval,complex,"pre-med, course sequencing, advising, students",academic_advising,degree planning,Data - Edward.csv,advisor,attribute_lookup,academic_advising,"persona:advisor->advisor,intent:attribute_lookup->attribute_lookup,intent:validated_attribute_lookup,primary_route:route:academic_advising",major_or_program
best practices for advising students on elective selection,advisor,attribute_lookup,retrieval,medium,"elective selection, advising, best practices, students",academic_advising,degree planning,Data - Edward.csv,advisor,attribute_lookup,academic_advising,"persona:advisor->advisor,intent:attribute_lookup->attribute_lookup,intent:validated_attribute_lookup,primary_route:route:academic_advising",
how to advise students on taking courses at other institutions for credit,advisor,attribute_lookup,retrieval,medium,"cross-enrollment, other institutions, credit, advising",academic_advising,degree planning,Data - Edward.csv,advisor,attribute_lookup,academic_advising,"persona:advisor->advisor,intent:attribute_lookup->attribute_lookup,intent:validated_attribute_lookup,primary_route:route:academic_advising",
how to help students understand the difference between electives and required courses,advisor,attribute_lookup,retrieval,medium,"electives, required courses, distinction, advising",academic_advising,degree planning,Data - Edward.csv,advisor,attribute_lookup,academic_advising,"persona:advisor->advisor,intent:attribute_lookup->attribute_lookup,intent:validated_attribute_lookup,primary_route:route:academic_advising",
how to help students plan around seasonal or part-time enrollment,advisor,attribute_lookup,retrieval,medium,"seasonal, part-time enrollment, planning, advising",academic_advising,degree planning,Data - Edward.csv,advisor,attribute_lookup,academic_advising,"persona:advisor->advisor,intent:attribute_lookup->attribute_lookup,intent:validated_attribute_lookup,primary_route:route:academic_advising",
how to advise students about the impact of withdrawals on financial aid,advisor,attribute_lookup,retrieval,medium,"withdrawals, financial aid, impact, advising",financial_aid_advising,degree planning,Data - Edward.csv,advisor,attribute_lookup,financial_aid_advising,"persona:advisor->advisor,intent:attribute_lookup->attribute_lookup,intent:validated_attribute_lookup,primary_route:route:financial_aid_advising",cost_constraint
how to advise students about concurrent enrollment in high school and college,advisor,attribute_lookup,retrieval,medium,"concurrent enrollment, high school, college, advising",academic_advising,degree planning,Data - Edward.csv,advisor,attribute_lookup,academic_advising,"persona:advisor->advisor,intent:attribute_lookup->attribute_lookup,intent:validated_attribute_lookup,primary_route:route:academic_advising",
what degree options exist for students with prior learning assessments,advisor,attribute_lookup,retrieval,medium,"prior learning, assessments, degree options, advising",academic_advising,degree planning,Data - Edward.csv,advisor,attribute_lookup,academic_advising,"persona:advisor->advisor,intent:attribute_lookup->attribute_lookup,intent:validated_attribute_lookup,primary_route:route:academic_advising",
how to advise students about certificate programs that complement their degree,advisor,attribute_lookup,retrieval,medium,"certificate programs, complement degree, advising, students",academic_advising,degree planning,Data - Edward.csv,advisor,attribute_lookup,academic_advising,"persona:advisor->advisor,intent:attribute_lookup->attribute_lookup,intent:validated_attribute_lookup,primary_route:route:academic_advising",
how to help students understand impacted majors and alternative pathways,advisor,attribute_lookup,retrieval,medium,"impacted majors, alternative pathways, advising, students",academic_advising,degree planning,Data - Edward.csv,advisor,attribute_lookup,academic_advising,"persona:advisor->advisor,intent:attribute_lookup->attribute_lookup,intent:validated_attribute_lookup,primary_route:route:academic_advising",
how to advise students about second bachelor's degree programs,advisor,attribute_lookup,retrieval,medium,"second bachelor's degree, programs, advising, students",academic_advising,degree planning,Data - Edward.csv,advisor,attribute_lookup,academic_advising,"persona:advisor->advisor,intent:attribute_lookup->attribute_lookup,intent:validated_attribute_lookup,primary_route:route:academic_advising",
what resources can I connect students to who are struggling financially,advisor,attribute_lookup,retrieval,medium,"financial resources, student support, advising, referral",financial_aid_advising,at-risk intervention,Data - Edward.csv,advisor,attribute_lookup,financial_aid_advising,"persona:advisor->advisor,intent:attribute_lookup->attribute_lookup,intent:validated_attribute_lookup,primary_route:route:financial_aid_advising",
how to follow mandated reporting procedures in advising,advisor,attribute_lookup,retrieval,medium,"mandated reporting, procedures, advising, compliance",academic_advising,at-risk intervention,Data - Edward.csv,advisor,attribute_lookup,academic_advising,"persona:advisor->advisor,intent:attribute_lookup->attribute_lookup,intent:validated_attribute_lookup,primary_route:route:academic_advising",
how to advise a student on leave of absence options,advisor,attribute_lookup,retrieval,medium,"leave of absence, options, advising, student support",academic_advising,at-risk intervention,Data - Edward.csv,advisor,attribute_lookup,academic_advising,"persona:advisor->advisor,intent:attribute_lookup->attribute_lookup,intent:validated_attribute_lookup,primary_route:route:academic_advising",
how to connect students to disability accommodations,advisor,attribute_lookup,retrieval,medium,"disability accommodations, referral, advising, student support",campus_services_info,at-risk intervention,Data - Edward.csv,advisor,attribute_lookup,campus_services_info,"persona:advisor->advisor,intent:attribute_lookup->attribute_lookup,intent:validated_attribute_lookup,primary_route:route:campus_services_info",
how to advise student athletes facing eligibility concerns,advisor,attribute_lookup,retrieval,complex,"student athletes, eligibility, advising, compliance",academic_advising,at-risk intervention,Data - Edward.csv,advisor,attribute_lookup,academic_advising,"persona:advisor->advisor,intent:attribute_lookup->attribute_lookup,intent:validated_attribute_lookup,primary_route:route:academic_advising",
how to connect veterans students to campus support services,advisor,attribute_lookup,retrieval,medium,"veteran students, support services, advising, referral",campus_services_info,at-risk intervention,Data - Edward.csv,advisor,attribute_lookup,campus_services_info,"persona:advisor->advisor,intent:attribute_lookup->attribute_lookup,intent:validated_attribute_lookup,primary_route:route:campus_services_info",
how to help students navigate emergency academic accommodations,advisor,attribute_lookup,retrieval,medium,"emergency accommodations, academic, advising, student support",academic_advising,at-risk intervention,Data - Edward.csv,advisor,attribute_lookup,academic_advising,"persona:advisor->advisor,intent:attribute_lookup->attribute_lookup,intent:validated_attribute_lookup,primary_route:route:academic_advising",
how to refer students to basic needs support like food and clothing,advisor,attribute_lookup,retrieval,medium,"basic needs, food, clothing, advising referral",campus_services_info,at-risk intervention,Data - Edward.csv,advisor,attribute_lookup,campus_services_info,"persona:advisor->advisor,intent:attribute_lookup->attribute_lookup,intent:validated_attribute_lookup,primary_route:route:campus_services_info",
what career resources should I refer students to on campus,advisor,attribute_lookup,retrieval,medium,"career resources, referral, campus, advising",academic_advising,career advising,Data - Edward.csv,advisor,attribute_lookup,academic_advising,"persona:advisor->advisor,intent:attribute_lookup->attribute_lookup,intent:validated_attribute_lookup,primary_route:route:academic_advising",career_outcome_cue
how to advise students interested in applying to law school,advisor,attribute_lookup,retrieval,complex,"law school, application, advising, pre-law",academic_advising,career advising,Data - Edward.csv,advisor,attribute_lookup,academic_advising,"persona:advisor->advisor,intent:attribute_lookup->attribute_lookup,intent:validated_attribute_lookup,primary_route:route:academic_advising",
how to advise students who want to pursue a PhD,advisor,attribute_lookup,retrieval,complex,"PhD, graduate school, advising, research career",academic_advising,career advising,Data - Edward.csv,advisor,attribute_lookup,academic_advising,"persona:advisor->advisor,intent:attribute_lookup->attribute_lookup,intent:validated_attribute_lookup,primary_route:route:academic_advising",
what majors pair well with a pre-law track,advisor,attribute_lookup,retrieval,medium,"pre-law, majors, pairing, advising",academic_advising,career advising,Data - Edward.csv,advisor,attribute_lookup,academic_advising,"persona:advisor->advisor,intent:attribute_lookup->attribute_lookup,intent:validated_attribute_lookup,primary_route:route:academic_advising",major_or_program
how to help students find undergraduate research opportunities,advisor,attribute_lookup,retrieval,medium,"undergraduate research, opportunities, advising, students",academic_advising,career advising,Data - Edward.csv,advisor,attribute_lookup,academic_advising,"persona:advisor->advisor,intent:attribute_lookup->attribute_lookup,intent:validated_attribute_lookup,primary_route:route:academic_advising",
how to advise students about medical school prerequisites,advisor,attribute_lookup,retrieval,complex,"medical school, prerequisites, advising, pre-med",academic_advising,career advising,Data - Edward.csv,advisor,attribute_lookup,academic_advising,"persona:advisor->advisor,intent:attribute_lookup->attribute_lookup,intent:validated_attribute_lookup,primary_route:route:academic_advising",
how to connect students with alumni mentors in their field,advisor,attribute_lookup,retrieval,medium,"alumni mentors, career, advising, connections",academic_advising,career advising,Data - Edward.csv,advisor,attribute_lookup,academic_advising,"persona:advisor->advisor,intent:attribute_lookup->attribute_lookup,intent:validated_attribute_lookup,primary_route:route:academic_advising",
how to advise students about certification programs after graduation,advisor,attribute_lookup,retrieval,medium,"certifications, post-grad, advising, programs",academic_advising,career advising,Data - Edward.csv,advisor,attribute_lookup,academic_advising,"persona:advisor->advisor,intent:attribute_lookup->attribute_lookup,intent:validated_attribute_lookup,primary_route:route:academic_advising",
how to advise students who want to work abroad after graduation,advisor,attribute_lookup,retrieval,medium,"work abroad, post-graduation, advising, careers",study_abroad_advising,career advising,Data - Edward.csv,advisor,attribute_lookup,study_abroad_advising,"persona:advisor->advisor,intent:attribute_lookup->attribute_lookup,intent:validated_attribute_lookup,primary_route:route:study_abroad_advising",
what should advisors know about the federal TEACH grant for education students,advisor,attribute_lookup,retrieval,medium,"TEACH grant, education students, federal aid, advising",financial_aid_advising,career advising,Data - Edward.csv,advisor,attribute_lookup,financial_aid_advising,"persona:advisor->advisor,intent:attribute_lookup->attribute_lookup,intent:validated_attribute_lookup,primary_route:route:financial_aid_advising",
how to advise students about dual-degree programs and timelines,advisor,attribute_lookup,retrieval,complex,"dual-degree, programs, timelines, advising",academic_advising,career advising,Data - Edward.csv,advisor,attribute_lookup,academic_advising,"persona:advisor->advisor,intent:attribute_lookup->attribute_lookup,intent:validated_attribute_lookup,primary_route:route:academic_advising",
how to advise students about the value of informational interviews,advisor,attribute_lookup,retrieval,medium,"informational interviews, career, advising, value",academic_advising,career advising,Data - Edward.csv,advisor,attribute_lookup,academic_advising,"persona:advisor->advisor,intent:attribute_lookup->attribute_lookup,intent:validated_attribute_lookup,primary_route:route:academic_advising",
how to advise students about professional certifications in their field,advisor,attribute_lookup,retrieval,medium,"professional certifications, field, advising, career",academic_advising,career advising,Data - Edward.csv,advisor,attribute_lookup,academic_advising,"persona:advisor->advisor,intent:attribute_lookup->attribute_lookup,intent:validated_attribute_lookup,primary_route:route:academic_advising",
how to advise students interested in entrepreneurship or starting a business,advisor,attribute_lookup,retrieval,medium,"entrepreneurship, starting business, advising, students",academic_advising,career advising,Data - Edward.csv,advisor,attribute_lookup,academic_advising,"persona:advisor->advisor,intent:attribute_lookup->attribute_lookup,intent:validated_attribute_lookup,primary_route:route:academic_advising",major_or_program
how to help students leverage LinkedIn for career development,advisor,attribute_lookup,retrieval,medium,"LinkedIn, career development, advising, students",academic_advising,career advising,Data - Edward.csv,advisor,attribute_lookup,academic_advising,"persona:advisor->advisor,intent:attribute_lookup->attribute_lookup,intent:validated_attribute_lookup,primary_route:route:academic_advising",career_outcome_cue
how to advise students preparing for behavioral job interviews,advisor,attribute_lookup,retrieval,medium,"behavioral interviews, job preparation, advising, students",academic_advising,career advising,Data - Edward.csv,advisor,attribute_lookup,academic_advising,"persona:advisor->advisor,intent:attribute_lookup->attribute_lookup,intent:validated_attribute_lookup,primary_route:route:academic_advising",career_outcome_cue
how to connect undeclared students to career assessments and inventories,advisor,attribute_lookup,retrieval,medium,"career assessments, undeclared, advising, inventories",academic_advising,career advising,Data - Edward.csv,advisor,attribute_lookup,academic_advising,"persona:advisor->advisor,intent:attribute_lookup->attribute_lookup,intent:validated_attribute_lookup,primary_route:route:academic_advising",career_outcome_cue
how to advise students who want to pursue a teaching credential after graduation,advisor,attribute_lookup,retrieval,medium,"teaching credential, post-graduation, advising, students",academic_advising,career advising,Data - Edward.csv,advisor,attribute_lookup,academic_advising,"persona:advisor->advisor,intent:attribute_lookup->attribute_lookup,intent:validated_attribute_lookup,primary_route:route:academic_advising",
how to advise students about cooperative education and experiential learning,advisor,attribute_lookup,retrieval,medium,"cooperative education, experiential learning, advising, students",academic_advising,career advising,Data - Edward.csv,advisor,attribute_lookup,academic_advising,"persona:advisor->advisor,intent:attribute_lookup->attribute_lookup,intent:validated_attribute_lookup,primary_route:route:academic_advising",
how to advise students about graduate assistantship and fellowship opportunities,advisor,attribute_lookup,retrieval,medium,"graduate assistantship, fellowship, advising, opportunities",academic_advising,career advising,Data - Edward.csv,advisor,attribute_lookup,academic_advising,"persona:advisor->advisor,intent:attribute_lookup->attribute_lookup,intent:validated_attribute_lookup,primary_route:route:academic_advising",
how to advise students about apprenticeship programs as alternatives to traditional degrees,advisor,attribute_lookup,retrieval,medium,"apprenticeship, alternative degrees, advising, students",academic_advising,career advising,Data - Edward.csv,advisor,attribute_lookup,academic_advising,"persona:advisor->advisor,intent:attribute_lookup->attribute_lookup,intent:validated_attribute_lookup,primary_route:route:academic_advising",
how to explain financial aid award letters to students and families,advisor,cost_financial_aid,retrieval,llm_needed,"financial aid, award letters, explanation, advising",financial_aid_advising,financial aid advising,Data - Edward.csv,advisor,emotional_advisory,financial_aid_advising,"persona:advisor->advisor,route:financial_aid_advising->cost_financial_aid,intent:validated_cost_financial_aid,primary_route:route:financial_aid_advising",cost_constraint
how to help students appeal a financial aid decision,advisor,attribute_lookup,retrieval,medium,"financial aid appeal, process, advising, students",financial_aid_advising,financial aid advising,Data - Edward.csv,advisor,attribute_lookup,financial_aid_advising,"persona:advisor->advisor,intent:attribute_lookup->attribute_lookup,intent:validated_attribute_lookup,primary_route:route:financial_aid_advising",cost_constraint
what to tell students who lose their financial aid eligibility,advisor,cost_financial_aid,retrieval,llm_needed,"financial aid loss, eligibility, advising, student support",financial_aid_advising,financial aid advising,Data - Edward.csv,advisor,emotional_advisory,financial_aid_advising,"persona:advisor->advisor,route:financial_aid_advising->cost_financial_aid,intent:validated_cost_financial_aid,primary_route:route:financial_aid_advising",cost_constraint
how to advise students on satisfactory academic progress requirements,advisor,attribute_lookup,retrieval,medium,"satisfactory academic progress, SAP, financial aid, advising",financial_aid_advising,financial aid advising,Data - Edward.csv,advisor,attribute_lookup,financial_aid_advising,"persona:advisor->advisor,intent:attribute_lookup->attribute_lookup,intent:validated_attribute_lookup,primary_route:route:financial_aid_advising",
how to connect students to emergency financial aid funds,advisor,attribute_lookup,retrieval,medium,"emergency funds, financial aid, connection, advising",financial_aid_advising,financial aid advising,Data - Edward.csv,advisor,attribute_lookup,financial_aid_advising,"persona:advisor->advisor,intent:attribute_lookup->attribute_lookup,intent:validated_attribute_lookup,primary_route:route:financial_aid_advising",cost_constraint
how to explain the difference between loans and grants to students,advisor,attribute_lookup,retrieval,medium,"loans, grants, distinction, financial aid, advising",financial_aid_advising,financial aid advising,Data - Edward.csv,advisor,attribute_lookup,financial_aid_advising,"persona:advisor->advisor,intent:attribute_lookup->attribute_lookup,intent:validated_attribute_lookup,primary_route:route:financial_aid_advising",
how to advise students on managing student loan debt,advisor,cost_financial_aid,retrieval,llm_needed,"student loan debt, management, advising, students",financial_aid_advising,financial aid advising,Data - Edward.csv,advisor,emotional_advisory,financial_aid_advising,"persona:advisor->advisor,route:financial_aid_advising->cost_financial_aid,intent:validated_cost_financial_aid,primary_route:route:financial_aid_advising",
how to help students who are considering stopping out due to finances,advisor,cost_financial_aid,retrieval,llm_needed,"stopping out, finances, advising, retention",financial_aid_advising,financial aid advising,Data - Edward.csv,advisor,emotional_advisory,financial_aid_advising,"persona:advisor->advisor,route:financial_aid_advising->cost_financial_aid,intent:validated_cost_financial_aid,primary_route:route:financial_aid_advising",
how to advise students about work-study programs,advisor,attribute_lookup,retrieval,medium,"work-study, programs, advising, students",financial_aid_advising,financial aid advising,Data - Edward.csv,advisor,attribute_lookup,financial_aid_advising,"persona:advisor->advisor,intent:attribute_lookup->attribute_lookup,intent:validated_attribute_lookup,primary_route:route:financial_aid_advising",
how to guide students through the FAFSA renewal process,advisor,attribute_lookup,retrieval,medium,"FAFSA renewal, process, advising, students",financial_aid_advising,financial aid advising,Data - Edward.csv,advisor,attribute_lookup,financial_aid_advising,"persona:advisor->advisor,intent:attribute_lookup->attribute_lookup,intent:validated_attribute_lookup,primary_route:route:financial_aid_advising",
how to advise international students on funding options,advisor,attribute_lookup,retrieval,complex,"international students, funding, advising, options",financial_aid_advising,financial aid advising,Data - Edward.csv,advisor,attribute_lookup,financial_aid_advising,"persona:advisor->advisor,intent:attribute_lookup->attribute_lookup,intent:validated_attribute_lookup,primary_route:route:financial_aid_advising",
how to talk to parents about the expected family contribution,advisor,cost_financial_aid,retrieval,llm_needed,"expected family contribution, EFC, parents, advising",financial_aid_advising,financial aid advising,Data - Edward.csv,advisor,emotional_advisory,financial_aid_advising,"persona:advisor->advisor,route:financial_aid_advising->cost_financial_aid,intent:validated_cost_financial_aid,primary_route:route:financial_aid_advising",
how to help students find and apply for scholarships,advisor,attribute_lookup,retrieval,medium,"scholarships, finding, applying, advising, students",financial_aid_advising,financial aid advising,Data - Edward.csv,advisor,attribute_lookup,financial_aid_advising,"persona:advisor->advisor,intent:attribute_lookup->attribute_lookup,intent:validated_attribute_lookup,primary_route:route:financial_aid_advising",cost_constraint
how to advise students on income-driven repayment plans,advisor,attribute_lookup,retrieval,medium,"income-driven repayment, loans, advising, students",financial_aid_advising,financial aid advising,Data - Edward.csv,advisor,attribute_lookup,financial_aid_advising,"persona:advisor->advisor,intent:attribute_lookup->attribute_lookup,intent:validated_attribute_lookup,primary_route:route:financial_aid_advising",
what financial literacy resources should I share with students,advisor,attribute_lookup,retrieval,medium,"financial literacy, resources, advising, students",financial_aid_advising,financial aid advising,Data - Edward.csv,advisor,attribute_lookup,financial_aid_advising,"persona:advisor->advisor,intent:attribute_lookup->attribute_lookup,intent:validated_attribute_lookup,primary_route:route:financial_aid_advising",
how to evaluate whether a student's transfer credits will apply,advisor,attribute_lookup,retrieval,complex,"transfer credits, evaluation, advising, applicability",transfer_advising,transfer advising,Data - Edward.csv,advisor,attribute_lookup,transfer_advising,"persona:advisor->advisor,intent:attribute_lookup->attribute_lookup,intent:validated_attribute_lookup,primary_route:route:transfer_advising",
how to explain articulation agreements to transfer students,advisor,attribute_lookup,retrieval,medium,"articulation agreements, transfer, advising, explanation",transfer_advising,transfer advising,Data - Edward.csv,advisor,attribute_lookup,transfer_advising,"persona:advisor->advisor,intent:attribute_lookup->attribute_lookup,intent:validated_attribute_lookup,primary_route:route:transfer_advising",
what questions should I ask a student who wants to transfer,advisor,attribute_lookup,retrieval,medium,"transfer questions, advising, student assessment, decision",transfer_advising,transfer advising,Data - Edward.csv,advisor,attribute_lookup,transfer_advising,"persona:advisor->advisor,intent:attribute_lookup->attribute_lookup,intent:validated_attribute_lookup,primary_route:route:transfer_advising",
how to advise students about the impact of transfer on financial aid,advisor,attribute_lookup,retrieval,complex,"transfer, financial aid impact, advising, students",transfer_advising,transfer advising,Data - Edward.csv,advisor,attribute_lookup,transfer_advising,"persona:advisor->advisor,intent:attribute_lookup->attribute_lookup,intent:validated_attribute_lookup,primary_route:route:transfer_advising",cost_constraint
how to advise students transferring into competitive programs,advisor,attribute_lookup,retrieval,complex,"competitive programs, transfer, advising, requirements",transfer_advising,transfer advising,Data - Edward.csv,advisor,attribute_lookup,transfer_advising,"persona:advisor->advisor,intent:attribute_lookup->attribute_lookup,intent:validated_attribute_lookup,primary_route:route:transfer_advising",
what should advisors know about TAG programs for transfer students,advisor,attribute_lookup,retrieval,medium,"TAG, transfer admission guarantee, advising, programs",transfer_advising,transfer advising,Data - Edward.csv,advisor,attribute_lookup,transfer_advising,"persona:advisor->advisor,intent:attribute_lookup->attribute_lookup,intent:validated_attribute_lookup,primary_route:route:transfer_advising",
how to help students compare transfer destination schools,advisor,filtered_search,retrieval,medium,"compare schools, transfer, advising, decision",transfer_advising,transfer advising,Data - Edward.csv,advisor,attribute_lookup,transfer_advising,"persona:advisor->advisor,intent:attribute_lookup->attribute_lookup,intent:attribute_lookup_broad_search->filtered_search,primary_route:route:transfer_advising",comparison_target
how to document transfer credit evaluations for your records,advisor,attribute_lookup,retrieval,medium,"documentation, transfer credits, advising records, process",transfer_advising,transfer advising,Data - Edward.csv,advisor,attribute_lookup,transfer_advising,"persona:advisor->advisor,intent:attribute_lookup->attribute_lookup,intent:validated_attribute_lookup,primary_route:route:transfer_advising",
how to advise students on transfer acceptance timelines,advisor,attribute_lookup,retrieval,medium,"transfer, acceptance timeline, advising, planning",transfer_advising,transfer advising,Data - Edward.csv,advisor,attribute_lookup,transfer_advising,"persona:advisor->advisor,intent:attribute_lookup->attribute_lookup,intent:validated_attribute_lookup,primary_route:route:transfer_advising",
how to stay current on changes to institutional degree requirements,advisor,attribute_lookup,retrieval,medium,"degree requirements, changes, institutional policy, advising",academic_advising,policy & compliance,Data - Edward.csv,advisor,attribute_lookup,academic_advising,"persona:advisor->advisor,intent:attribute_lookup->attribute_lookup,intent:validated_attribute_lookup,primary_route:route:academic_advising",
how to handle a student's FERPA-related request for information,advisor,attribute_lookup,retrieval,medium,"FERPA, student records, privacy, advising compliance",academic_advising,policy & compliance,Data - Edward.csv,advisor,attribute_lookup,academic_advising,"persona:advisor->advisor,intent:attribute_lookup->attribute_lookup,intent:validated_attribute_lookup,primary_route:route:academic_advising",
how to advise students on catalog year and degree program changes,advisor,attribute_lookup,retrieval,medium,"catalog year, degree program, changes, advising",academic_advising,policy & compliance,Data - Edward.csv,advisor,attribute_lookup,academic_advising,"persona:advisor->advisor,intent:attribute_lookup->attribute_lookup,intent:validated_attribute_lookup,primary_route:route:academic_advising",
what is the process for petitioning to waive a degree requirement,advisor,attribute_lookup,retrieval,medium,"petition, waiver, degree requirement, advising process",academic_advising,policy & compliance,Data - Edward.csv,advisor,attribute_lookup,academic_advising,"persona:advisor->advisor,intent:attribute_lookup->attribute_lookup,intent:validated_attribute_lookup,primary_route:route:academic_advising",
how to advise students on academic renewal or fresh start policies,advisor,attribute_lookup,retrieval,medium,"academic renewal, fresh start, policy, advising",academic_advising,policy & compliance,Data - Edward.csv,advisor,attribute_lookup,academic_advising,"persona:advisor->advisor,intent:attribute_lookup->attribute_lookup,intent:validated_attribute_lookup,primary_route:route:academic_advising",
how to advise students on grade appeal processes,advisor,attribute_lookup,retrieval,medium,"grade appeal, process, advising, student rights",academic_advising,policy & compliance,Data - Edward.csv,advisor,attribute_lookup,academic_advising,"persona:advisor->advisor,intent:attribute_lookup->attribute_lookup,intent:validated_attribute_lookup,primary_route:route:academic_advising",
what advisors need to know about Title IX and student safety,advisor,attribute_lookup,retrieval,medium,"Title IX, student safety, advisor responsibilities, compliance",academic_advising,policy & compliance,Data - Edward.csv,advisor,attribute_lookup,academic_advising,"persona:advisor->advisor,intent:attribute_lookup->attribute_lookup,intent:validated_attribute_lookup,primary_route:route:academic_advising",
how to advise students about the impact of incomplete grades,advisor,attribute_lookup,retrieval,medium,"incomplete grades, impact, advising, policy",academic_advising,policy & compliance,Data - Edward.csv,advisor,attribute_lookup,academic_advising,"persona:advisor->advisor,intent:attribute_lookup->attribute_lookup,intent:validated_attribute_lookup,primary_route:route:academic_advising",
what are the advising responsibilities during registration holds,advisor,attribute_lookup,retrieval,medium,"registration holds, advisor responsibilities, process, advising",academic_advising,policy & compliance,Data - Edward.csv,advisor,attribute_lookup,academic_advising,"persona:advisor->advisor,intent:attribute_lookup->attribute_lookup,intent:validated_attribute_lookup,primary_route:route:academic_advising",
how to advise students who are on academic suspension,advisor,attribute_lookup,retrieval,complex,"academic suspension, advising, student support, policy",academic_advising,policy & compliance,Data - Edward.csv,advisor,attribute_lookup,academic_advising,"persona:advisor->advisor,intent:attribute_lookup->attribute_lookup,intent:validated_attribute_lookup,primary_route:route:academic_advising",
how to advise undocumented students about their college options,advisor,attribute_lookup,retrieval,complex,"undocumented students, college options, advising, DACA",academic_advising,policy & compliance,Data - Edward.csv,advisor,attribute_lookup,academic_advising,"persona:advisor->advisor,intent:attribute_lookup->attribute_lookup,intent:validated_attribute_lookup,primary_route:route:academic_advising",
how to properly refer students to other campus offices and departments,advisor,attribute_lookup,retrieval,medium,"referral, campus offices, advising, coordination",academic_advising,policy & compliance,Data - Edward.csv,advisor,attribute_lookup,academic_advising,"persona:advisor->advisor,intent:attribute_lookup->attribute_lookup,intent:validated_attribute_lookup,primary_route:route:academic_advising",
how to advise students on understanding their student rights and responsibilities,advisor,attribute_lookup,retrieval,medium,"student rights, responsibilities, advising, policy",academic_advising,policy & compliance,Data - Edward.csv,advisor,attribute_lookup,academic_advising,"persona:advisor->advisor,intent:attribute_lookup->attribute_lookup,intent:validated_attribute_lookup,primary_route:route:academic_advising",
how to advise students about academic integrity and plagiarism policies,advisor,attribute_lookup,retrieval,medium,"academic integrity, plagiarism, advising, policy",academic_advising,policy & compliance,Data - Edward.csv,advisor,attribute_lookup,academic_advising,"persona:advisor->advisor,intent:attribute_lookup->attribute_lookup,intent:validated_attribute_lookup,primary_route:route:academic_advising",
how to advise students about the Family Educational Rights and Privacy Act,advisor,attribute_lookup,retrieval,medium,"FERPA, student privacy rights, advising, compliance",academic_advising,policy & compliance,Data - Edward.csv,advisor,attribute_lookup,academic_advising,"persona:advisor->advisor,intent:attribute_lookup->attribute_lookup,intent:validated_attribute_lookup,primary_route:route:academic_advising",
how to advise students on course repeat policies and GPA implications,advisor,attribute_lookup,retrieval,medium,"course repeat, GPA, policy, advising",academic_advising,policy & compliance,Data - Edward.csv,advisor,attribute_lookup,academic_advising,"persona:advisor->advisor,intent:attribute_lookup->attribute_lookup,intent:validated_attribute_lookup,primary_route:route:academic_advising",admissions_or_attribute_signal
