query_text,true_persona,true_intent,expected_route,expected_tier,notes,entity_types,normalization_flags
University of Washington tuition,advisor,cost_financial_aid,finance_guidance,medium,gold label; advisor; attribute_lookup,"school,cost_constraint",intent:cost_pattern
best psychology schools near a tech hub,advisor,filtered_search,semantic_or_faceted_search,medium,gold label; advisor; filtered_search,major_or_program,
best options for a student switching into biology,advisor,recommendation,recommendation_workflow,complex,gold label; advisor; filtered_search,major_or_program,intent:advisor_switching_pattern
schools in warm states with strong research,advisor,multi_constraint,foundry_multi_agent,complex,gold label; advisor; filtered_search,location,intent:multi_constraint_pattern
best options for a student switching into nursing,advisor,recommendation,recommendation_workflow,complex,gold label; advisor; filtered_search,major_or_program,intent:advisor_switching_pattern
best options for a student switching into biology,advisor,recommendation,recommendation_workflow,complex,gold label; advisor; multi_constraint,major_or_program,intent:advisor_switching_pattern
create reach target safety list for architecture near the beach under 30k,advisor,multi_constraint,foundry_multi_agent,complex,gold label; advisor; multi_constraint,"major_or_program,location",
create reach target safety list for mechanical engineering in the Midwest with scholarships,advisor,multi_constraint,foundry_multi_agent,complex,gold label; advisor; multi_constraint,"major_or_program,location,cost_constraint",
create reach target safety list for economics in warm states under 30k,advisor,multi_constraint,foundry_multi_agent,complex,gold label; advisor; multi_constraint,"major_or_program,location",
create reach target safety list for engineering in the Midwest under 20k,advisor,multi_constraint,foundry_multi_agent,complex,gold label; advisor; comparison,"major_or_program,location",intent:advisor_list_pattern
Northwestern vs UC Berkeley for biology,advisor,comparison,compare_pipeline,complex,gold label; advisor; comparison,"school,comparison_target,major_or_program",
create reach target safety list for data science in the Midwest with scholarships,advisor,multi_constraint,foundry_multi_agent,complex,gold label; advisor; comparison,"location,cost_constraint",intent:advisor_list_pattern
create reach target safety list for engineering near Chicago under 40k,advisor,multi_constraint,foundry_multi_agent,complex,gold label; advisor; comparison,"major_or_program,location",intent:advisor_list_pattern
best options for a student switching into architecture,advisor,recommendation,recommendation_workflow,complex,gold label; advisor; recommendation,major_or_program,
schools like USC but cheaper,advisor,rewrite_needed,rewrite_then_route,complex,gold label; advisor; recommendation,"school,rewrite_cue",intent:rewrite_pattern
create reach target safety list for mechanical engineering near Chicago with strong aid,advisor,multi_constraint,foundry_multi_agent,complex,gold label; advisor; recommendation,"major_or_program,location",intent:advisor_list_pattern
create reach target safety list for biology near a tech hub with strong aid,advisor,multi_constraint,foundry_multi_agent,complex,gold label; advisor; recommendation,major_or_program,intent:advisor_list_pattern
create reach target safety list for engineering in the Midwest under 30k,advisor,multi_constraint,foundry_multi_agent,complex,gold label; advisor; admissions_process,"major_or_program,location",intent:advisor_list_pattern
best options for a student switching into biology,advisor,recommendation,recommendation_workflow,complex,gold label; advisor; admissions_process,major_or_program,intent:advisor_switching_pattern
best options for a student switching into mechanical engineering,advisor,recommendation,recommendation_workflow,complex,gold label; advisor; admissions_process,major_or_program,intent:advisor_switching_pattern
create reach target safety list for pre-med near Chicago under 30k,advisor,multi_constraint,foundry_multi_agent,complex,gold label; advisor; admissions_process,"major_or_program,location",intent:advisor_list_pattern
create reach target safety list for pre-med in the Midwest under 20k,advisor,multi_constraint,foundry_multi_agent,complex,gold label; advisor; cost_financial_aid,"major_or_program,location",intent:advisor_list_pattern
how to lower college costs,advisor,cost_financial_aid,finance_guidance,medium,gold label; advisor; cost_financial_aid,,
University of Washington scholarships,advisor,cost_financial_aid,finance_guidance,medium,gold label; advisor; cost_financial_aid,"school,cost_constraint",
best options for a student switching into nursing,advisor,recommendation,recommendation_workflow,complex,gold label; advisor; cost_financial_aid,major_or_program,intent:advisor_switching_pattern
best options for a student switching into nursing,advisor,recommendation,recommendation_workflow,complex,gold label; advisor; campus_life_fit,major_or_program,intent:advisor_switching_pattern
schools with collaborative culture,advisor,campus_life_fit,llm_advisory,complex,gold label; advisor; campus_life_fit,fit_or_culture_cue,
UCLA campus culture,advisor,campus_life_fit,llm_advisory,complex,gold label; advisor; campus_life_fit,"school,fit_or_culture_cue",
best options for a student switching into engineering,advisor,recommendation,recommendation_workflow,complex,gold label; advisor; career_outcomes,major_or_program,intent:advisor_switching_pattern
best options for a student switching into economics,advisor,recommendation,recommendation_workflow,complex,gold label; advisor; career_outcomes,major_or_program,intent:advisor_switching_pattern
create reach target safety list for economics near the beach under 20k,advisor,multi_constraint,foundry_multi_agent,complex,gold label; advisor; career_outcomes,"major_or_program,location",intent:advisor_list_pattern
UT Austin job placement for pre-med,advisor,career_outcomes,outcomes_pipeline,medium,gold label; advisor; career_outcomes,"school,major_or_program,career_outcome_cue",
create reach target safety list for architecture in Texas under 20k,advisor,multi_constraint,foundry_multi_agent,complex,gold label; advisor; rewrite_needed,"major_or_program,location",intent:advisor_list_pattern
best options for a student switching into nursing,advisor,recommendation,recommendation_workflow,complex,gold label; advisor; rewrite_needed,major_or_program,intent:advisor_switching_pattern
create reach target safety list for mechanical engineering near Chicago under 20k,advisor,multi_constraint,foundry_multi_agent,complex,gold label; advisor; rewrite_needed,"major_or_program,location",intent:advisor_list_pattern
best options for a student switching into psychology,advisor,recommendation,recommendation_workflow,complex,gold label; advisor; rewrite_needed,major_or_program,intent:advisor_switching_pattern
best options for a student switching into pre-med,advisor,recommendation,recommendation_workflow,complex,gold label; advisor; b2b_partnership,major_or_program,intent:advisor_switching_pattern
best options for a student switching into computer science,advisor,recommendation,recommendation_workflow,complex,gold label; advisor; b2b_partnership,major_or_program,intent:advisor_switching_pattern
create reach target safety list for engineering near the beach with scholarships,advisor,multi_constraint,foundry_multi_agent,complex,gold label; advisor; b2b_partnership,"major_or_program,location,cost_constraint",intent:advisor_list_pattern
how can our university join the platform,college_b2b,b2b_partnership,b2b_workflow,medium,gold label; advisor; b2b_partnership,b2b_request_type,persona:b2b_pattern
how can our university join the platform,college_b2b,b2b_partnership,b2b_workflow,medium,gold label; college_b2b; b2b_partnership,b2b_request_type,
api access for college partners,college_b2b,b2b_partnership,b2b_workflow,medium,gold label; college_b2b; b2b_partnership,b2b_request_type,
pricing for partner universities,college_b2b,b2b_partnership,b2b_workflow,medium,gold label; college_b2b; b2b_partnership,b2b_request_type,
request demo for admissions office,college_b2b,b2b_partnership,b2b_workflow,medium,gold label; college_b2b; b2b_partnership,"admissions_or_attribute_signal,b2b_request_type",
is Columbia safe for students,parent,attribute_lookup,typesense_plus_metadata,easy,gold label; parent; campus_life_fit,school,intent:safety_attribute_pattern
UCLA housing guarantee,parent,attribute_lookup,typesense_plus_metadata,easy,gold label; parent; b2b_partnership,"school,admissions_or_attribute_signal",intent:housing_guarantee_pattern
best fit colleges for students interested in economics,counselor_teacher,filtered_search,semantic_or_faceted_search,medium,gold label; counselor_teacher; rewrite_needed,major_or_program,"intent:best_fit_pattern,intent:filtered_search_pattern"
Virginia Tech,high_school_student,direct_lookup,typesense_only,easy,gold label; parent; direct_lookup,school,persona:school_only_pattern
University of Washington campus culture,college_student,campus_life_fit,llm_advisory,complex,gold label; college_student; campus_life_fit,"school,fit_or_culture_cue",
UCLA tuition vs Northwestern tuition,advisor,comparison,compare_pipeline,complex,gold label; advisor; comparison,"school,comparison_target,cost_constraint",
Georgia Tech job placement for psychology,advisor,career_outcomes,outcomes_pipeline,medium,gold label; advisor; career_outcomes,"school,major_or_program,career_outcome_cue",
pricing for partner universities,college_b2b,b2b_partnership,b2b_workflow,medium,gold label; advisor; b2b_partnership,b2b_request_type,persona:b2b_pattern
best fit colleges for students interested in business,counselor_teacher,filtered_search,semantic_or_faceted_search,medium,gold label; counselor_teacher; rewrite_needed,major_or_program,"intent:best_fit_pattern,intent:filtered_search_pattern"
Cornell admissions profile average sat and gpa,counselor_teacher,admissions_process,faq_or_guidance,medium,gold label; counselor_teacher; filtered_search,"school,admissions_or_attribute_signal",intent:admissions_profile_pattern
colleges with low stress environment,advisor,filtered_search,semantic_or_faceted_search,medium,gold label; advisor; campus_life_fit,,intent:filtered_search_pattern
Stanford acceptance rate,parent,attribute_lookup,typesense_plus_metadata,easy,gold label; parent; attribute_lookup,"school,admissions_or_attribute_signal",
Columbia research opportunities for undergrads,college_student,attribute_lookup,typesense_plus_metadata,easy,gold label; college_student; direct_lookup,school,intent:undergrad_research_pattern
Princeton research opportunities for undergrads,college_student,attribute_lookup,typesense_plus_metadata,easy,gold label; college_student; rewrite_needed,school,intent:undergrad_research_pattern
is Stanford safe for students,parent,attribute_lookup,typesense_plus_metadata,easy,gold label; parent; direct_lookup,school,intent:safety_attribute_pattern
harvard,high_school_student,direct_lookup,typesense_only,easy,gold label; college_student; direct_lookup,school,persona:school_only_pattern
can i transfer credits into USC,college_student,admissions_process,faq_or_guidance,medium,gold label; college_student; filtered_search,school,intent:transfer_credit_pattern
Princeton admissions profile average sat and gpa,counselor_teacher,admissions_process,faq_or_guidance,medium,gold label; counselor_teacher; cost_financial_aid,"school,admissions_or_attribute_signal",intent:admissions_profile_pattern
colleges with low stress environment,high_school_student,filtered_search,semantic_or_faceted_search,medium,gold label; high_school_student; campus_life_fit,,intent:filtered_search_pattern
affordable architecture schools in the Midwest with scholarships with good internships,advisor,multi_constraint,foundry_multi_agent,complex,gold label; advisor; multi_constraint,"major_or_program,location,cost_constraint",
universities with strong economics,parent,filtered_search,semantic_or_faceted_search,medium,gold label; parent; filtered_search,major_or_program,
create reach target safety list for mechanical engineering near the beach under 20k,advisor,multi_constraint,foundry_multi_agent,complex,gold label; advisor; filtered_search,"major_or_program,location",intent:advisor_list_pattern
schools like Northwestern but cheaper,parent,rewrite_needed,rewrite_then_route,complex,gold label; parent; recommendation,"school,rewrite_cue",intent:rewrite_pattern
USC admissions profile average sat and gpa,counselor_teacher,admissions_process,faq_or_guidance,medium,gold label; counselor_teacher; campus_life_fit,"school,admissions_or_attribute_signal",intent:admissions_profile_pattern
what schools should i apply to for mechanical engineering,high_school_student,filtered_search,semantic_or_faceted_search,medium,gold label; high_school_student; recommendation,major_or_program,intent:filtered_search_pattern
universities with strong pre-med,parent,filtered_search,semantic_or_faceted_search,medium,gold label; parent; filtered_search,major_or_program,
create reach target safety list for business near the beach under 40k,advisor,multi_constraint,foundry_multi_agent,complex,gold label; advisor; direct_lookup,"major_or_program,location",intent:advisor_list_pattern
recommend colleges near Chicago for engineering under 40k,college_student,recommendation,recommendation_workflow,complex,gold label; college_student; recommendation,"major_or_program,location",
Duke,high_school_student,direct_lookup,typesense_only,easy,gold label; advisor; direct_lookup,school,persona:school_only_pattern
create reach target safety list for economics near Chicago under 30k,advisor,multi_constraint,foundry_multi_agent,complex,gold label; advisor; attribute_lookup,"major_or_program,location",intent:advisor_list_pattern
best fit colleges for students interested in data science,counselor_teacher,filtered_search,semantic_or_faceted_search,medium,gold label; counselor_teacher; multi_constraint,,"intent:best_fit_pattern,intent:filtered_search_pattern"
MIT admissions profile average sat and gpa,counselor_teacher,admissions_process,faq_or_guidance,medium,gold label; counselor_teacher; recommendation,"school,admissions_or_attribute_signal",intent:admissions_profile_pattern
Carnegie Mellon housing guarantee,parent,attribute_lookup,typesense_plus_metadata,easy,gold label; parent; comparison,"school,admissions_or_attribute_signal",intent:housing_guarantee_pattern
how to lower college costs,high_school_student,cost_financial_aid,finance_guidance,medium,gold label; high_school_student; cost_financial_aid,,
schools good for introverts,college_student,campus_life_fit,llm_advisory,complex,gold label; college_student; campus_life_fit,fit_or_culture_cue,
what essays does MIT require,high_school_student,admissions_process,faq_or_guidance,medium,gold label; high_school_student; admissions_process,school,
best fit colleges for students interested in business,counselor_teacher,filtered_search,semantic_or_faceted_search,medium,gold label; counselor_teacher; cost_financial_aid,major_or_program,"intent:best_fit_pattern,intent:filtered_search_pattern"
best fit colleges for students interested in engineering,counselor_teacher,filtered_search,semantic_or_faceted_search,medium,gold label; counselor_teacher; rewrite_needed,major_or_program,"intent:best_fit_pattern,intent:filtered_search_pattern"
harvard but less stressful,advisor,rewrite_needed,rewrite_then_route,complex,gold label; advisor; rewrite_needed,"school,rewrite_cue",
MIT research opportunities for undergrads,college_student,attribute_lookup,typesense_plus_metadata,easy,gold label; college_student; comparison,school,intent:undergrad_research_pattern
is University of Michigan safe for students,parent,attribute_lookup,typesense_plus_metadata,easy,gold label; parent; cost_financial_aid,school,intent:safety_attribute_pattern
four year cost of NYU including housing,parent,cost_financial_aid,finance_guidance,medium,gold label; parent; direct_lookup,"school,cost_constraint,admissions_or_attribute_signal",intent:four_year_cost_pattern
small biology colleges near the beach with scholarships,high_school_student,multi_constraint,foundry_multi_agent,complex,gold label; high_school_student; multi_constraint,"major_or_program,location,cost_constraint",
universities with strong architecture,parent,filtered_search,semantic_or_faceted_search,medium,gold label; parent; filtered_search,major_or_program,
does Princeton have biology,parent,attribute_lookup,typesense_plus_metadata,easy,gold label; parent; attribute_lookup,"school,major_or_program",
recommend colleges in California for pre-med with strong aid,college_student,recommendation,recommendation_workflow,complex,gold label; college_student; recommendation,"major_or_program,location",
create reach target safety list for architecture in Texas under 40k,advisor,multi_constraint,foundry_multi_agent,complex,gold label; advisor; rewrite_needed,"major_or_program,location",intent:advisor_list_pattern
can i transfer credits into Stanford,college_student,admissions_process,faq_or_guidance,medium,gold label; college_student; comparison,school,intent:transfer_credit_pattern
Stanford research opportunities for undergrads,college_student,attribute_lookup,typesense_plus_metadata,easy,gold label; college_student; admissions_process,school,intent:undergrad_research_pattern
colleges in warm states,advisor,filtered_search,semantic_or_faceted_search,medium,gold label; advisor; filtered_search,location,
best fit colleges for students interested in economics,counselor_teacher,filtered_search,semantic_or_faceted_search,medium,gold label; counselor_teacher; admissions_process,major_or_program,"intent:best_fit_pattern,intent:filtered_search_pattern"
create reach target safety list for computer science in the Midwest under 20k,advisor,multi_constraint,foundry_multi_agent,complex,gold label; advisor; filtered_search,"major_or_program,location",intent:advisor_list_pattern
Carnegie Mellon admissions profile average sat and gpa,counselor_teacher,admissions_process,faq_or_guidance,medium,gold label; counselor_teacher; attribute_lookup,"school,admissions_or_attribute_signal",intent:admissions_profile_pattern
UC Berkeley housing guarantee,parent,attribute_lookup,typesense_plus_metadata,easy,gold label; parent; multi_constraint,"school,admissions_or_attribute_signal",intent:housing_guarantee_pattern
best options for a student switching into business,advisor,recommendation,recommendation_workflow,complex,gold label; advisor; comparison,major_or_program,intent:advisor_switching_pattern
do i need sat for Princeton,high_school_student,admissions_process,faq_or_guidance,medium,gold label; high_school_student; admissions_process,"school,admissions_or_attribute_signal",
schools with strong first gen support,counselor_teacher,filtered_search,semantic_or_faceted_search,medium,gold label; counselor_teacher; admissions_process,,intent:first_gen_support_pattern
colleges in the Midwest,counselor_teacher,filtered_search,semantic_or_faceted_search,medium,gold label; counselor_teacher; filtered_search,location,
small psychology colleges in the Midwest under 30k,high_school_student,multi_constraint,foundry_multi_agent,complex,gold label; high_school_student; multi_constraint,"major_or_program,location",
purdue,high_school_student,direct_lookup,typesense_only,easy,gold label; high_school_student; direct_lookup,school,
best options for a student switching into psychology,advisor,recommendation,recommendation_workflow,complex,gold label; advisor; b2b_partnership,major_or_program,intent:advisor_switching_pattern
can i transfer credits into Virginia Tech,college_student,admissions_process,faq_or_guidance,medium,gold label; college_student; filtered_search,school,intent:transfer_credit_pattern
colleges in California with strong aid with strong research and campus safety,high_school_student,multi_constraint,foundry_multi_agent,complex,gold label; high_school_student; multi_constraint,location,
is University of Washington safe for students,parent,attribute_lookup,typesense_plus_metadata,easy,gold label; parent; recommendation,school,intent:safety_attribute_pattern
do i need sat for Carnegie Mellon,counselor_teacher,admissions_process,faq_or_guidance,medium,gold label; counselor_teacher; admissions_process,"school,admissions_or_attribute_signal",
can i transfer credits into USC,college_student,admissions_process,faq_or_guidance,medium,gold label; college_student; rewrite_needed,school,intent:transfer_credit_pattern
