query_text,persona,intent_label,complexity,notes,route,tier,entity_types,normalization_flags
UCLA housing,college_student,attribute_lookup,short_circuit,single attribute,typesense_plus_metadata,easy,"school,admissions_or_attribute_signal",
Carnegie Mellon but cheaper,advisor,rewrite_needed,complex,needs rewrite,rewrite_then_route,complex,"school,rewrite_cue",
recommend small colleges in the Midwest for aerospace engineering target schools,high_school_student,recommendation,complex,needs recommendations,recommendation_workflow,complex,"major_or_program,location",
does UC San Diego have philosophy,college_student,attribute_lookup,short_circuit,single attribute,typesense_plus_metadata,easy,,
create reach target safety list for pre-med near Chicago under 20k,advisor,multi_constraint,medium,how-to / admissions; advisor framing,foundry_multi_agent,complex,"major_or_program,location",intent:advisor_list_pattern
medium-sized economics colleges on the East Coast low tuition reach schools,high_school_student,multi_constraint,complex,multi-constraint,foundry_multi_agent,complex,"major_or_program,location,cost_constraint",
how do i apply to NYU,parent,admissions_process,medium,how-to / admissions,faq_or_guidance,medium,school,
cornell,high_school_student,direct_lookup,medium,simple entity,typesense_only,easy,school,persona:school_only_pattern
ucla vibe but not so expensive,college_student,rewrite_needed,complex,needs rewrite,rewrite_then_route,complex,"school,fit_or_culture_cue,rewrite_cue",
enterprise access for counselors and districts,college_b2b,b2b_partnership,medium,B2B,b2b_workflow,medium,b2b_request_type,persona:b2b_pattern
Harvard,high_school_student,direct_lookup,short_circuit,simple entity,typesense_only,easy,school,persona:school_only_pattern
Stanford application deadlines,counselor_teacher,admissions_process,medium,how-to / admissions,faq_or_guidance,medium,"school,admissions_or_attribute_signal",
average SAT for Vanderbilt,advisor,admissions_process,short_circuit,single attribute,faq_or_guidance,medium,"school,admissions_or_attribute_signal",intent:admissions_pattern
best colleges for chemistry job outcomes,counselor_teacher,career_outcomes,medium,outcomes,outcomes_pipeline,medium,career_outcome_cue,
Columbia financial aid for out of state,counselor_teacher,cost_financial_aid,medium,cost / aid,finance_guidance,medium,"school,cost_constraint",
schools in warm states with low student-to-faculty ratio,high_school_student,filtered_search,llm_needed,1–2 filters,semantic_or_faceted_search,medium,location,
University of Wisconsin but cheaper,college_student,rewrite_needed,complex,needs rewrite,rewrite_then_route,complex,"school,rewrite_cue",
recommend small colleges in Texas for neuroscience not too competitive,advisor,recommendation,complex,needs recommendations,recommendation_workflow,complex,"major_or_program,location",
Georgia Tech non-competitive culture,high_school_student,campus_life_fit,llm_needed,subjective fit,llm_advisory,complex,"school,fit_or_culture_cue",
Stanford tuition vs Northwestern tuition,college_student,comparison,complex,compare entities,compare_pipeline,complex,"school,comparison_target,cost_constraint",
pricing for partner colleges,college_b2b,b2b_partnership,short_circuit,B2B,b2b_workflow,medium,b2b_request_type,
colleges where people dont care about football,college_student,filtered_search,llm_needed,subjective fit,semantic_or_faceted_search,medium,,intent:filtered_search_pattern
NYU scholarships,college_student,cost_financial_aid,medium,cost / aid,finance_guidance,medium,"school,cost_constraint",
universities with strong architecture,parent,filtered_search,medium,1–2 filters; parent framing,semantic_or_faceted_search,medium,major_or_program,
Brown tuition vs University of Wisconsin tuition,college_student,comparison,complex,compare entities,compare_pipeline,complex,"school,comparison_target,cost_constraint",
MIT housing guarantee,parent,attribute_lookup,short_circuit,simple entity; parent framing,typesense_plus_metadata,easy,"school,admissions_or_attribute_signal",intent:housing_guarantee_pattern
colleges on the East Coast under 30k with strong research and internships,counselor_teacher,multi_constraint,complex,multi-constraint,foundry_multi_agent,complex,location,
MIT admissions profile average sat and gpa,counselor_teacher,admissions_process,short_circuit,single attribute; counselor framing,faq_or_guidance,medium,"school,admissions_or_attribute_signal",intent:admissions_profile_pattern
University of Michigan scholarships,counselor_teacher,cost_financial_aid,medium,cost / aid,finance_guidance,medium,"school,cost_constraint",
best political science schools in California,parent,filtered_search,medium,1–2 filters,semantic_or_faceted_search,medium,location,
mit without the suffering,college_student,rewrite_needed,llm_needed,needs rewrite,rewrite_then_route,complex,"school,rewrite_cue",
what essays does UCLA require,high_school_student,admissions_process,medium,how-to / admissions,faq_or_guidance,medium,school,
Columbia housing guarantee,parent,attribute_lookup,short_circuit,simple entity; parent framing,typesense_plus_metadata,easy,"school,admissions_or_attribute_signal",intent:housing_guarantee_pattern
schools good for normal people,counselor_teacher,campus_life_fit,llm_needed,subjective fit,llm_advisory,complex,fit_or_culture_cue,
Penn State,high_school_student,direct_lookup,short_circuit,simple entity,typesense_only,easy,school,persona:school_only_pattern
does Brown have business,counselor_teacher,attribute_lookup,short_circuit,single attribute,typesense_plus_metadata,easy,"school,major_or_program",
schools good for sports culture,advisor,campus_life_fit,llm_needed,subjective fit,llm_advisory,complex,fit_or_culture_cue,
ucla vibe but not so expensive,parent,rewrite_needed,complex,needs rewrite; parent framing,rewrite_then_route,complex,"school,fit_or_culture_cue,rewrite_cue",
Carnegie Mellon financial aid for out of state,college_student,cost_financial_aid,medium,cost / aid,finance_guidance,medium,"school,cost_constraint",
schools like Northwestern but cheaper,college_student,rewrite_needed,medium,needs recommendations,rewrite_then_route,complex,"school,rewrite_cue",intent:rewrite_pattern
best colleges for mechanical engineering job outcomes,counselor_teacher,career_outcomes,medium,outcomes,outcomes_pipeline,medium,"major_or_program,career_outcome_cue",
request demo for our admissions team,college_b2b,b2b_partnership,medium,B2B,b2b_workflow,medium,"admissions_or_attribute_signal,b2b_request_type",persona:b2b_pattern
schools like Boston University but cheaper,college_student,rewrite_needed,complex,needs recommendations,rewrite_then_route,complex,"school,rewrite_cue",intent:rewrite_pattern
schools with strong first gen support,counselor_teacher,filtered_search,medium,B2B; counselor framing,semantic_or_faceted_search,medium,,intent:first_gen_support_pattern
UCLA,high_school_student,direct_lookup,short_circuit,simple entity,typesense_only,easy,school,persona:school_only_pattern
four year cost of University of Wisconsin including housing,parent,cost_financial_aid,medium,how-to / admissions; parent framing,finance_guidance,medium,"school,cost_constraint,admissions_or_attribute_signal",intent:four_year_cost_pattern
schools near Chicago with low student-to-faculty ratio,parent,filtered_search,medium,1–2 filters,semantic_or_faceted_search,medium,location,
Harvard vs Columbia for nursing,college_student,comparison,complex,compare entities,compare_pipeline,complex,"school,comparison_target,major_or_program",
best colleges for nursing job outcomes,college_student,career_outcomes,medium,outcomes,outcomes_pipeline,medium,"major_or_program,career_outcome_cue",
colleges where people dont care about football,parent,filtered_search,llm_needed,subjective fit; parent framing,semantic_or_faceted_search,medium,,intent:filtered_search_pattern
affordable business schools near Chicago with good job placement,advisor,career_outcomes,complex,multi-constraint,outcomes_pipeline,medium,"major_or_program,location,career_outcome_cue",intent:career_pattern
universities with strong political science,college_student,filtered_search,medium,1–2 filters,semantic_or_faceted_search,medium,,
Boston University non-competitive culture,counselor_teacher,campus_life_fit,llm_needed,subjective fit; counselor framing,llm_advisory,complex,"school,fit_or_culture_cue",
schools with strong first gen support,counselor_teacher,filtered_search,complex,needs recommendations; counselor framing,semantic_or_faceted_search,medium,,intent:first_gen_support_pattern
Michigan,college_student,direct_lookup,llm_needed,simple entity,typesense_only,easy,,
Penn State application deadlines,advisor,admissions_process,medium,how-to / admissions,faq_or_guidance,medium,"school,admissions_or_attribute_signal",
Brown vs UC Berkeley,high_school_student,comparison,complex,compare entities,compare_pipeline,complex,"school,comparison_target",
tuition for Duke,counselor_teacher,cost_financial_aid,short_circuit,single attribute,finance_guidance,medium,"school,cost_constraint",intent:cost_pattern
four year cost of Carnegie Mellon including housing,parent,cost_financial_aid,llm_needed,multi-constraint; parent framing,finance_guidance,medium,"school,cost_constraint,admissions_or_attribute_signal",intent:four_year_cost_pattern
affordable engineering schools near Chicago with good job placement,college_student,career_outcomes,complex,multi-constraint,outcomes_pipeline,medium,"major_or_program,location,career_outcome_cue",intent:career_pattern
Caltech scholarships,counselor_teacher,cost_financial_aid,complex,cost / aid,finance_guidance,medium,cost_constraint,
schools with high internship placement rates,high_school_student,career_outcomes,medium,outcomes,outcomes_pipeline,medium,career_outcome_cue,
create reach target safety list for architecture in California full ride options,advisor,multi_constraint,medium,B2B; advisor framing,foundry_multi_agent,complex,"major_or_program,location,cost_constraint",intent:advisor_list_pattern
mit,high_school_student,direct_lookup,short_circuit,simple entity,typesense_only,easy,school,persona:school_only_pattern
universities with strong computer science,college_student,filtered_search,medium,1–2 filters,semantic_or_faceted_search,medium,major_or_program,
affordable chemistry schools in the Midwest with good job placement,college_student,career_outcomes,complex,multi-constraint,outcomes_pipeline,medium,"location,career_outcome_cue",intent:career_pattern
schools with normal people,college_student,campus_life_fit,llm_needed,subjective fit,llm_advisory,complex,fit_or_culture_cue,
schools with strong first gen support,counselor_teacher,filtered_search,medium,cost / aid; counselor framing,semantic_or_faceted_search,medium,,intent:first_gen_support_pattern
NYU application deadlines,high_school_student,admissions_process,medium,how-to / admissions,faq_or_guidance,medium,"school,admissions_or_attribute_signal",
create reach target safety list for nursing on the East Coast full ride options,advisor,multi_constraint,llm_needed,subjective fit; advisor framing,foundry_multi_agent,complex,"major_or_program,location,cost_constraint",intent:advisor_list_pattern
Carnegie Mellon,high_school_student,direct_lookup,short_circuit,simple entity,typesense_only,easy,school,persona:school_only_pattern
harvard but less stressful,parent,rewrite_needed,short_circuit,needs rewrite,rewrite_then_route,complex,"school,rewrite_cue",
schools like Northeastern but cheaper,parent,rewrite_needed,complex,needs recommendations,rewrite_then_route,complex,rewrite_cue,intent:rewrite_pattern
UT Austin application deadlines,college_student,admissions_process,medium,how-to / admissions,faq_or_guidance,medium,"school,admissions_or_attribute_signal",
acceptance rate for MIT,high_school_student,attribute_lookup,short_circuit,single attribute,typesense_plus_metadata,easy,"school,admissions_or_attribute_signal",
affordable chemistry schools in Texas with good job placement,college_student,career_outcomes,complex,multi-constraint,outcomes_pipeline,medium,"location,career_outcome_cue",intent:career_pattern
Purdue,high_school_student,direct_lookup,short_circuit,simple entity,typesense_only,easy,school,persona:school_only_pattern
schools good for vibe,counselor_teacher,campus_life_fit,llm_needed,subjective fit,llm_advisory,complex,fit_or_culture_cue,
what schools should i apply to for public health not Florida low tuition,counselor_teacher,recommendation,complex,needs recommendations,recommendation_workflow,complex,"location,cost_constraint",
pricing for partner colleges,college_b2b,b2b_partnership,medium,B2B,b2b_workflow,medium,b2b_request_type,persona:b2b_pattern
colleges in warm states,high_school_student,filtered_search,medium,1–2 filters,semantic_or_faceted_search,medium,location,
schools with normal people,advisor,campus_life_fit,medium,subjective fit,llm_advisory,complex,fit_or_culture_cue,
housing for Princeton,high_school_student,attribute_lookup,short_circuit,single attribute,typesense_plus_metadata,easy,"school,admissions_or_attribute_signal",
best electrical engineering schools on the East Coast,advisor,filtered_search,medium,1–2 filters,semantic_or_faceted_search,medium,"major_or_program,location",
MIT vs University of Michigan,parent,comparison,complex,compare entities,compare_pipeline,complex,"school,comparison_target",
schools in the Midwest with low student-to-faculty ratio,counselor_teacher,filtered_search,medium,1–2 filters,semantic_or_faceted_search,medium,location,
recommend large colleges near Chicago for philosophy target schools,college_student,recommendation,complex,needs recommendations,recommendation_workflow,complex,location,
what schools should i apply to for chemistry in Texas under 40k,college_student,filtered_search,complex,needs recommendations,semantic_or_faceted_search,medium,location,intent:filtered_search_pattern
schools like Brown but cheaper,advisor,rewrite_needed,complex,needs recommendations,rewrite_then_route,complex,"school,rewrite_cue",intent:rewrite_pattern
MIT,high_school_student,direct_lookup,short_circuit,simple entity,typesense_only,easy,school,
University of Maryland vs Princeton for biology,parent,comparison,complex,compare entities,compare_pipeline,complex,"school,comparison_target,major_or_program",
Columbia scholarships,advisor,cost_financial_aid,medium,cost / aid; advisor framing,finance_guidance,medium,"school,cost_constraint",
Brown financial aid for out of state,high_school_student,cost_financial_aid,medium,cost / aid,finance_guidance,medium,"school,cost_constraint",
colleges on the East Coast,college_student,filtered_search,medium,1–2 filters,semantic_or_faceted_search,medium,location,
api access for college partners,college_b2b,b2b_partnership,llm_needed,B2B,b2b_workflow,medium,b2b_request_type,
Northeastern normal people,high_school_student,campus_life_fit,llm_needed,subjective fit,llm_advisory,complex,fit_or_culture_cue,
request demo for our admissions team,college_b2b,b2b_partnership,llm_needed,B2B,b2b_workflow,medium,"admissions_or_attribute_signal,b2b_request_type",
pricing for partner colleges,college_b2b,b2b_partnership,short_circuit,B2B,b2b_workflow,medium,b2b_request_type,persona:b2b_pattern
Boston University housing guarantee,parent,attribute_lookup,short_circuit,single attribute; parent framing,typesense_plus_metadata,easy,"school,admissions_or_attribute_signal",
best colleges for psychology job outcomes,advisor,career_outcomes,complex,outcomes,outcomes_pipeline,medium,"major_or_program,career_outcome_cue",
clubs for University of Florida,parent,attribute_lookup,complex,single attribute; parent framing,typesense_plus_metadata,easy,"school,location",
what schools should i apply to for pre-law in warm states low tuition,counselor_teacher,recommendation,complex,needs recommendations,recommendation_workflow,complex,"major_or_program,location,cost_constraint",
ucla vibe but not so expensive,counselor_teacher,rewrite_needed,complex,needs rewrite; counselor framing,rewrite_then_route,complex,"school,fit_or_culture_cue,rewrite_cue",
cheapest aerospace engineering schools near a major tech hub,parent,filtered_search,medium,cost / aid; parent framing,semantic_or_faceted_search,medium,major_or_program,intent:filtered_search_pattern
schools like UC Irvine but cheaper,college_student,rewrite_needed,complex,needs recommendations,rewrite_then_route,complex,rewrite_cue,intent:rewrite_pattern
schools with normal people,parent,campus_life_fit,llm_needed,subjective fit,llm_advisory,complex,fit_or_culture_cue,
Rice University job placement for electrical engineering,advisor,career_outcomes,medium,outcomes,outcomes_pipeline,medium,"school,major_or_program,career_outcome_cue",
Arizona State housing,advisor,attribute_lookup,short_circuit,single attribute; advisor framing,typesense_plus_metadata,easy,"school,admissions_or_attribute_signal",
affordable neuroscience schools in California with good job placement,counselor_teacher,career_outcomes,complex,multi-constraint,outcomes_pipeline,medium,"major_or_program,location,career_outcome_cue",intent:career_pattern
brown,high_school_student,direct_lookup,short_circuit,simple entity,typesense_only,easy,school,
how to lower college costs,advisor,cost_financial_aid,medium,cost / aid; advisor framing,finance_guidance,medium,,
affordable economics schools in warm states with good job placement,college_student,career_outcomes,complex,multi-constraint,outcomes_pipeline,medium,"major_or_program,location,career_outcome_cue",intent:career_pattern
mit without the suffering,advisor,rewrite_needed,complex,needs rewrite,rewrite_then_route,complex,"school,rewrite_cue",
Brown,high_school_student,direct_lookup,short_circuit,simple entity,typesense_only,easy,school,
schools good for sports culture,parent,campus_life_fit,llm_needed,subjective fit,llm_advisory,complex,fit_or_culture_cue,
colleges not Florida low tuition with strong research and internships,advisor,multi_constraint,short_circuit,multi-constraint,foundry_multi_agent,complex,"location,cost_constraint",
create reach target safety list for economics in California under 30k,advisor,multi_constraint,complex,multi-constraint; advisor framing,foundry_multi_agent,complex,"major_or_program,location",
UC Irvine vs Brown,college_student,comparison,llm_needed,compare entities,compare_pipeline,complex,"school,comparison_target",
schools with strong first gen support,counselor_teacher,filtered_search,medium,1–2 filters; counselor framing,semantic_or_faceted_search,medium,,
Brown vs Northeastern,counselor_teacher,comparison,complex,compare entities,compare_pipeline,complex,"school,comparison_target",
schools good for normal people,college_student,campus_life_fit,llm_needed,subjective fit,llm_advisory,complex,fit_or_culture_cue,
UT Austin non-competitive culture,advisor,campus_life_fit,llm_needed,subjective fit,llm_advisory,complex,"school,fit_or_culture_cue",
request demo for our admissions team,college_b2b,b2b_partnership,complex,B2B,b2b_workflow,medium,"admissions_or_attribute_signal,b2b_request_type",
Virginia Tech tuition vs Princeton tuition,high_school_student,comparison,complex,compare entities,compare_pipeline,complex,"school,comparison_target,cost_constraint",
Georgia Tech,high_school_student,direct_lookup,short_circuit,simple entity,typesense_only,easy,school,persona:school_only_pattern
do i need sat for Cornell,counselor_teacher,admissions_process,medium,how-to / admissions,faq_or_guidance,medium,"school,admissions_or_attribute_signal",
Purdue tuition vs University of Washington tuition,counselor_teacher,comparison,complex,compare entities,compare_pipeline,complex,"school,comparison_target,cost_constraint",
Princeton mental health counseling,advisor,attribute_lookup,short_circuit,single attribute,typesense_plus_metadata,easy,school,
University of Washington vs Vanderbilt for political science,college_student,comparison,llm_needed,compare entities,compare_pipeline,complex,"school,comparison_target",
request demo for our admissions team,college_b2b,b2b_partnership,medium,B2B,b2b_workflow,medium,"admissions_or_attribute_signal,b2b_request_type",persona:b2b_pattern
best finance schools not Florida,college_student,filtered_search,medium,1–2 filters,semantic_or_faceted_search,medium,location,
UCLA acceptance rate,college_student,attribute_lookup,short_circuit,single attribute,typesense_plus_metadata,easy,"school,admissions_or_attribute_signal",
UCLA vs Columbia,counselor_teacher,comparison,complex,compare entities,compare_pipeline,complex,"school,comparison_target",
schools good for introverts,high_school_student,campus_life_fit,llm_needed,subjective fit,llm_advisory,complex,fit_or_culture_cue,
best colleges for pre-med job outcomes,high_school_student,career_outcomes,medium,outcomes,outcomes_pipeline,medium,"major_or_program,career_outcome_cue",
api access for college partners,college_b2b,b2b_partnership,medium,B2B,b2b_workflow,medium,b2b_request_type,persona:b2b_pattern
Purdue tuition vs UT Austin tuition,high_school_student,comparison,complex,compare entities,compare_pipeline,complex,"school,comparison_target,cost_constraint",
cheapest chemistry schools near a major tech hub,college_student,filtered_search,medium,cost / aid,semantic_or_faceted_search,medium,,intent:filtered_search_pattern
create reach target safety list for philosophy on the East Coast under 40k,advisor,multi_constraint,medium,how-to / admissions; advisor framing,foundry_multi_agent,complex,location,intent:advisor_list_pattern
what schools should i apply to for pre-law not Florida under 40k,college_student,filtered_search,complex,needs recommendations,semantic_or_faceted_search,medium,"major_or_program,location",intent:filtered_search_pattern
University of Maryland clubs,college_student,attribute_lookup,short_circuit,single attribute,typesense_plus_metadata,easy,school,
affordable business schools in Texas with good job placement,advisor,career_outcomes,llm_needed,multi-constraint; advisor framing,outcomes_pipeline,medium,"major_or_program,location,career_outcome_cue",intent:career_pattern
student-to-faculty ratio for Rice University,high_school_student,attribute_lookup,short_circuit,single attribute,typesense_plus_metadata,easy,school,
does UC Berkeley have business,advisor,attribute_lookup,short_circuit,single attribute; advisor framing,typesense_plus_metadata,easy,"school,major_or_program",
schools near Chicago with low student-to-faculty ratio,counselor_teacher,filtered_search,medium,1–2 filters,semantic_or_faceted_search,medium,location,
University of Florida financial aid for out of state,advisor,cost_financial_aid,medium,cost / aid,finance_guidance,medium,"school,location,cost_constraint",
purdue,high_school_student,direct_lookup,short_circuit,simple entity,typesense_only,easy,school,persona:school_only_pattern
do i need sat for Rice University,high_school_student,admissions_process,medium,how-to / admissions,faq_or_guidance,medium,"school,admissions_or_attribute_signal",
Stanford but cheaper,high_school_student,rewrite_needed,complex,needs rewrite,rewrite_then_route,complex,"school,rewrite_cue",
cheapest data science schools near a major tech hub,counselor_teacher,filtered_search,medium,cost / aid,semantic_or_faceted_search,medium,,intent:filtered_search_pattern
schools with normal people,counselor_teacher,campus_life_fit,llm_needed,subjective fit,llm_advisory,complex,fit_or_culture_cue,
recommend medium-sized colleges in California for electrical engineering reach schools,college_student,recommendation,complex,needs recommendations,recommendation_workflow,complex,"major_or_program,location",
schools with high internship placement rates,parent,career_outcomes,medium,outcomes; parent framing,outcomes_pipeline,medium,career_outcome_cue,
what schools should i apply to for psychology in California under 20k,parent,filtered_search,complex,needs recommendations,semantic_or_faceted_search,medium,"major_or_program,location",intent:filtered_search_pattern
schools like Harvard but cheaper,parent,rewrite_needed,complex,needs recommendations,rewrite_then_route,complex,"school,rewrite_cue",intent:rewrite_pattern
Georgia Tech financial aid for out of state,college_student,cost_financial_aid,medium,cost / aid,finance_guidance,medium,"school,cost_constraint",
colleges in California,college_student,filtered_search,medium,1–2 filters,semantic_or_faceted_search,medium,location,
Princeton,high_school_student,direct_lookup,short_circuit,simple entity,typesense_only,easy,school,
Duke application deadlines,high_school_student,admissions_process,medium,how-to / admissions,faq_or_guidance,medium,"school,admissions_or_attribute_signal",
Columbia vs University of Maryland,high_school_student,comparison,complex,compare entities,compare_pipeline,complex,"school,comparison_target",
location for Rice University,counselor_teacher,attribute_lookup,short_circuit,single attribute,typesense_plus_metadata,easy,school,
Georgia Tech housing guarantee,parent,attribute_lookup,medium,how-to / admissions; parent framing,typesense_plus_metadata,easy,"school,admissions_or_attribute_signal",intent:housing_guarantee_pattern
best colleges for finance job outcomes,parent,career_outcomes,llm_needed,outcomes,outcomes_pipeline,medium,career_outcome_cue,
colleges near a major tech hub full ride options with strong research and internships,parent,multi_constraint,complex,multi-constraint,foundry_multi_agent,complex,cost_constraint,
medium-sized public health colleges near a major tech hub under 40k not too competitive,counselor_teacher,filtered_search,llm_needed,multi-constraint,semantic_or_faceted_search,medium,,intent:filtered_search_pattern
harvard but less stressful,counselor_teacher,rewrite_needed,complex,needs rewrite,rewrite_then_route,complex,"school,rewrite_cue",
colleges on the East Coast low tuition with strong research and internships,high_school_student,multi_constraint,medium,multi-constraint,foundry_multi_agent,complex,"location,cost_constraint",
Virginia Tech financial aid,high_school_student,cost_financial_aid,short_circuit,single attribute,finance_guidance,medium,"school,cost_constraint",intent:cost_pattern
cheapest aerospace engineering schools on the East Coast,college_student,filtered_search,medium,cost / aid,semantic_or_faceted_search,medium,"major_or_program,location",intent:filtered_search_pattern
schools with high internship placement rates,college_student,career_outcomes,short_circuit,outcomes,outcomes_pipeline,medium,career_outcome_cue,
Brown,high_school_student,direct_lookup,short_circuit,simple entity,typesense_only,easy,school,persona:school_only_pattern
Cornell vs Penn State,college_student,comparison,complex,compare entities,compare_pipeline,complex,"school,comparison_target",
how do we update our school profile data,college_b2b,b2b_partnership,complex,B2B,b2b_workflow,medium,b2b_request_type,persona:b2b_pattern
UC Irvine housing guarantee,parent,attribute_lookup,llm_needed,simple entity; parent framing,typesense_plus_metadata,easy,admissions_or_attribute_signal,intent:housing_guarantee_pattern
Northwestern vs UC San Diego,counselor_teacher,comparison,complex,compare entities,compare_pipeline,complex,"school,comparison_target",
colleges near the beach under 30k with strong research and internships,college_student,multi_constraint,complex,multi-constraint,foundry_multi_agent,complex,location,
ucla vibe but not so expensive,advisor,rewrite_needed,complex,needs rewrite; advisor framing,rewrite_then_route,complex,"school,fit_or_culture_cue,rewrite_cue",
Virginia Tech clubs,parent,attribute_lookup,short_circuit,single attribute; parent framing,typesense_plus_metadata,easy,school,
University of Wisconsin housing,counselor_teacher,attribute_lookup,short_circuit,single attribute,typesense_plus_metadata,easy,"school,admissions_or_attribute_signal",
what essays does NYU require,high_school_student,admissions_process,medium,how-to / admissions,faq_or_guidance,medium,school,
UCLA normal people,parent,campus_life_fit,short_circuit,subjective fit,llm_advisory,complex,"school,fit_or_culture_cue",
universities with strong nursing,advisor,filtered_search,medium,1–2 filters,semantic_or_faceted_search,medium,major_or_program,
medium-sized aerospace engineering colleges in warm states under 30k safety schools,counselor_teacher,filtered_search,complex,multi-constraint,semantic_or_faceted_search,medium,"major_or_program,location",intent:filtered_search_pattern
Virginia Tech acceptance rate,advisor,attribute_lookup,short_circuit,single attribute; advisor framing,typesense_plus_metadata,easy,"school,admissions_or_attribute_signal",
Columbia chill campus,college_student,campus_life_fit,llm_needed,subjective fit,llm_advisory,complex,"school,fit_or_culture_cue",
schools good for introverts,advisor,campus_life_fit,llm_needed,subjective fit; advisor framing,llm_advisory,complex,fit_or_culture_cue,
Vanderbilt,high_school_student,direct_lookup,short_circuit,simple entity,typesense_only,easy,school,persona:school_only_pattern
recommend large colleges near a major tech hub for pre-med target schools,college_student,recommendation,complex,needs recommendations,recommendation_workflow,complex,major_or_program,
recommend large colleges in California for mechanical engineering not too competitive,parent,recommendation,complex,needs recommendations,recommendation_workflow,complex,"major_or_program,location",
uc berkeley,high_school_student,direct_lookup,short_circuit,simple entity,typesense_only,easy,school,persona:school_only_pattern
harvard but less stressful,college_student,rewrite_needed,llm_needed,needs rewrite,rewrite_then_route,complex,"school,rewrite_cue",
University of Washington,high_school_student,direct_lookup,short_circuit,simple entity,typesense_only,easy,school,persona:school_only_pattern
do i need sat for UC Berkeley,counselor_teacher,admissions_process,medium,how-to / admissions,faq_or_guidance,medium,"school,admissions_or_attribute_signal",
cheapest architecture schools near Chicago,high_school_student,filtered_search,medium,cost / aid,semantic_or_faceted_search,medium,"major_or_program,location",intent:filtered_search_pattern
pricing for partner colleges,college_b2b,b2b_partnership,medium,B2B,b2b_workflow,medium,b2b_request_type,persona:b2b_pattern
Caltech normal people,counselor_teacher,campus_life_fit,short_circuit,subjective fit,llm_advisory,complex,fit_or_culture_cue,
Virginia Tech sports culture,parent,campus_life_fit,complex,subjective fit,llm_advisory,complex,"school,fit_or_culture_cue",
campus safety for University of Washington,advisor,attribute_lookup,short_circuit,single attribute,typesense_plus_metadata,easy,school,
Vanderbilt admissions profile average sat and gpa,counselor_teacher,admissions_process,complex,needs rewrite; counselor framing,faq_or_guidance,medium,"school,admissions_or_attribute_signal",intent:admissions_profile_pattern
Brown location,high_school_student,attribute_lookup,short_circuit,single attribute,typesense_plus_metadata,easy,school,
Arizona State job placement for engineering,counselor_teacher,career_outcomes,medium,outcomes,outcomes_pipeline,medium,"school,major_or_program,career_outcome_cue",
Northeastern tuition vs University of Washington tuition,college_student,comparison,complex,compare entities,compare_pipeline,complex,"school,comparison_target,cost_constraint",
universities with strong pre-law,college_student,filtered_search,medium,1–2 filters,semantic_or_faceted_search,medium,major_or_program,
recommend large colleges in Texas for economics not too competitive,counselor_teacher,recommendation,complex,needs recommendations,recommendation_workflow,complex,"major_or_program,location",
recommend large colleges in Texas for architecture safety schools,parent,recommendation,complex,needs recommendations; parent framing,recommendation_workflow,complex,"major_or_program,location",
does Carnegie Mellon have engineering,advisor,attribute_lookup,short_circuit,single attribute,typesense_plus_metadata,easy,"school,major_or_program",
does Boston University have mechanical engineering,college_student,attribute_lookup,short_circuit,single attribute,typesense_plus_metadata,easy,"school,major_or_program",
create reach target safety list for neuroscience near Chicago full ride options,advisor,multi_constraint,llm_needed,subjective fit; advisor framing,foundry_multi_agent,complex,"major_or_program,location,cost_constraint",intent:advisor_list_pattern
api access for college partners,college_b2b,b2b_partnership,short_circuit,B2B,b2b_workflow,medium,b2b_request_type,
Princeton job placement,counselor_teacher,career_outcomes,short_circuit,single attribute,outcomes_pipeline,medium,"school,career_outcome_cue",intent:career_pattern
create reach target safety list for neuroscience near the beach under 30k,advisor,multi_constraint,medium,how-to / admissions; advisor framing,foundry_multi_agent,complex,"major_or_program,location",intent:advisor_list_pattern
Brown but cheaper,parent,rewrite_needed,complex,needs rewrite; parent framing,rewrite_then_route,complex,"school,rewrite_cue",
how do i apply to Georgia Tech,parent,admissions_process,medium,how-to / admissions,faq_or_guidance,medium,school,
colleges near a major tech hub good financial aid with strong research and internships,parent,multi_constraint,complex,multi-constraint; parent framing,foundry_multi_agent,complex,cost_constraint,
harvard but less stressful,advisor,rewrite_needed,short_circuit,needs rewrite; advisor framing,rewrite_then_route,complex,"school,rewrite_cue",
Arizona State introverts,college_student,campus_life_fit,llm_needed,subjective fit,llm_advisory,complex,"school,fit_or_culture_cue",
api access for college partners,college_b2b,b2b_partnership,medium,B2B,b2b_workflow,medium,b2b_request_type,persona:b2b_pattern
do i need sat for UT Austin,parent,admissions_process,medium,how-to / admissions,faq_or_guidance,medium,"school,admissions_or_attribute_signal",
Princeton,high_school_student,direct_lookup,short_circuit,simple entity,typesense_only,easy,school,persona:school_only_pattern
Northwestern job placement for computer science,high_school_student,career_outcomes,medium,outcomes,outcomes_pipeline,medium,"school,major_or_program,career_outcome_cue",
student-to-faculty ratio for Rice University,college_student,attribute_lookup,short_circuit,single attribute,typesense_plus_metadata,easy,school,
colleges near a major tech hub,counselor_teacher,filtered_search,medium,1–2 filters,semantic_or_faceted_search,medium,,
rankings for UC Berkeley,high_school_student,attribute_lookup,short_circuit,single attribute,typesense_plus_metadata,easy,school,
four year cost of Harvard including housing,parent,cost_financial_aid,short_circuit,single attribute; parent framing,finance_guidance,medium,"school,cost_constraint,admissions_or_attribute_signal",intent:four_year_cost_pattern
